dataset,dataset_label,attack_id,attack,gamma_base,delta_gamma_base,delta_m_max_base,gamma_below_base,gamma_below_induced_base,n_models_base,gamma_min_model_base,delta_gamma_min_model_base,delta_m_max_model_base,sig_base,sig_uncorrected_base,gamma_fair,delta_gamma_fair,delta_m_max_fair,gamma_below_fair,gamma_below_induced_fair,n_models_fair,gamma_min_model_fair,delta_gamma_min_model_fair,delta_m_max_model_fair,sig_fair,sig_uncorrected_fair
ml-100k,ML100K,cfair_influencer_push_random,\textsc{Influencer-PushR},"$[0.76, 0.97]$","$[-0.15, 0.00]$",$4.2$,2,2,8,mf,mf,ease-u,1,5,"$[0.65, 0.89]$","$[-0.42, -0.02]$",$4.5$,4,4,5,mf-absolute-age,mf-under-age,mf-under-age,3,4
ml-100k,ML100K,cfair_influencer_push_least_favorite,\textsc{Influencer-PushLF},"$[0.75, 0.98]$","$[-0.16, 0.00]$",$3.3$,1,1,8,mf,mf,mf,1,2,"$[0.72, 0.88]$","$[-0.37, -0.03]$",$3.7$,4,4,5,mf-absolute-age,mf-under-age,mf-under-age,4,4
ml-100k,ML100K,cfair_influencer_nuke_favorite,\textsc{Influencer-NukeF},"$[0.77, 0.95]$","$[-0.14, 0.00]$",$3.0$,1,1,8,mf,mf,mf,2,3,"$[0.70, 0.90]$","$[-0.30, -0.02]$",$4.1$,3,3,5,mf-value-age,mf-under-age,mf-value-age,1,3
ml-100k,ML100K,cfair_favorite_push_random,\textsc{Favorite-PushR},"$[0.78, 0.95]$","$[-0.13, 0.01]$",$2.9$,1,1,8,mf,mf,mf,0,1,"$[0.71, 0.91]$","$[-0.32, -0.01]$",$4.1$,4,4,5,mf-absolute-age,mf-under-age,mf-value-age,3,3
ml-100k,ML100K,cfair_favorite_push_least_favorite,\textsc{Favorite-PushLF},"$[0.76, 0.93]$","$[-0.15, 0.01]$",$3.3$,1,1,8,mf,mf,mf,1,1,"$[0.72, 0.91]$","$[-0.33, -0.01]$",$3.8$,4,4,5,mf-value-age,mf-under-age,mf-value-age,1,3
ml-100k,ML100K,cfair_reverse_favorite_nuke_favorite,\textsc{ReverseFavorite-NukeF},"$[0.77, 0.97]$","$[-0.14, 0.01]$",$3.2$,1,1,8,mf,mf,mf,0,2,"$[0.69, 0.93]$","$[-0.32, 0.01]$",$4.6$,4,4,5,mf-value-age,mf-under-age,mf-value-age,2,3
ml-1m,ML1M,cfair_influencer_push_random,\textsc{Influencer-PushR},"$[0.76, 0.88]$","$[-0.05, 0.01]$",$3.0$,2,1,8,mf,mf,svd,0,0,"$[0.45, 0.84]$","$[-0.11, 0.01]$",$2.2$,4,1,5,mf-under-age,mf-value-age,bnslim-u-age,0,0
ml-1m,ML1M,cfair_influencer_push_least_favorite,\textsc{Influencer-PushLF},"$[0.76, 0.87]$","$[-0.05, 0.01]$",$3.1$,2,1,8,svd,neumf,svd,0,0,"$[0.52, 0.83]$","$[-0.10, 0.07]$",$2.3$,4,1,5,mf-under-age,mf-value-age,bnslim-u-age,0,1
ml-1m,ML1M,cfair_influencer_nuke_favorite,\textsc{Influencer-NukeF},"$[0.75, 0.89]$","$[-0.05, 0.02]$",$3.0$,2,1,8,mf,mf,svd,0,0,"$[0.52, 0.84]$","$[-0.09, 0.05]$",$2.2$,4,1,5,mf-under-age,mf-value-age,bnslim-u-age,0,0
ml-1m,ML1M,cfair_favorite_push_random,\textsc{Favorite-PushR},"$[0.73, 0.89]$","$[-0.08, 0.01]$",$3.1$,2,1,8,mf,mf,svd,0,0,"$[0.40, 0.84]$","$[-0.23, 0.00]$",$2.6$,4,1,5,mf-under-age,mf-value-age,mf-value-age,1,1
ml-1m,ML1M,cfair_favorite_push_least_favorite,\textsc{Favorite-PushLF},"$[0.69, 0.89]$","$[-0.12, 0.01]$",$3.1$,2,1,8,mf,mf,svd,0,0,"$[0.50, 0.84]$","$[-0.16, 0.03]$",$2.4$,4,1,5,mf-under-age,mf-value-age,mf-over-age,0,2
ml-1m,ML1M,cfair_reverse_favorite_nuke_favorite,\textsc{ReverseFavorite-NukeF},"$[0.76, 0.89]$","$[-0.03, 0.00]$",$3.1$,2,1,8,svd,mf,svd,0,0,"$[0.46, 0.84]$","$[-0.12, 0.01]$",$2.2$,4,1,5,mf-under-age,mf-value-age,bnslim-u-age,1,1
lastfm-1k,LFM1K,cfair_influencer_push_random,\textsc{Influencer-PushR},"$[0.67, 0.88]$","$[-0.15, 0.06]$",$11.0$,6,3,8,slim-u,nmf,ease-i,2,2,"$[0.67, 0.78]$","$[-0.20, -0.10]$",$10.5$,5,4,5,bnslim-u-age,mf-value-age,bnslim-u-age,2,4
lastfm-1k,LFM1K,cfair_influencer_push_least_favorite,\textsc{Influencer-PushLF},"$[0.68, 0.97]$","$[-0.13, 0.15]$",$10.5$,6,3,8,slim-u,mf,ease-i,0,2,"$[0.68, 0.79]$","$[-0.19, -0.09]$",$10.4$,5,4,5,bnslim-u-age,mf-value-age,bnslim-u-age,0,3
lastfm-1k,LFM1K,cfair_influencer_nuke_favorite,\textsc{Influencer-NukeF},"$[0.68, 0.90]$","$[-0.14, 0.02]$",$10.7$,5,2,8,slim-u,nmf,ease-i,2,3,"$[0.67, 0.93]$","$[-0.09, 0.00]$",$10.5$,1,0,5,bnslim-u-age,bnslim-u-age,bnslim-u-age,1,1
lastfm-1k,LFM1K,cfair_favorite_push_random,\textsc{Favorite-PushR},"$[0.62, 0.95]$","$[-0.28, 0.12]$",$9.7$,4,1,8,mf,mf,mf,2,3,"$[0.62, 0.77]$","$[-0.35, 0.00]$",$9.9$,5,4,5,mf-over-age,mf-value-age,mf-over-age,4,4
