dataset,attack_id,model,model_kind,p_value,significant_uncorrected,p_value_bh,significant_bh
ml-100k,cfair_influencer_push_random,ease-i,base,0.5457102410752159,False,0.7467613825239797,False
ml-100k,cfair_influencer_push_random,ease-u,base,0.3595673782987434,False,0.6064405180194886,False
ml-100k,cfair_influencer_push_random,slim-i,base,0.1212713487899043,False,0.30513436147137213,False
ml-100k,cfair_influencer_push_random,slim-u,base,0.0085657764271508,True,0.04888760204764114,True
ml-100k,cfair_influencer_push_random,svd,base,0.0187630498594175,True,0.08130654939080915,False
ml-100k,cfair_influencer_push_random,mf,base,0.0108049724098601,True,0.05618585653127252,False
ml-100k,cfair_influencer_push_random,nmf,base,0.0370611946610467,True,0.13765586588388776,False
ml-100k,cfair_influencer_push_random,bnslim-u-age,fair,0.0099458513769428,True,0.0528938459591958,False
ml-100k,cfair_influencer_push_random,mf-value-age,fair,0.0001301705350187,True,0.0025351880110562573,True
ml-100k,cfair_influencer_push_random,mf-absolute-age,fair,0.0003314919168446,True,0.0043093949189798,True
ml-100k,cfair_influencer_push_random,mf-under-age,fair,2.270997466074237e-05,True,0.0006642667588267143,True
ml-100k,cfair_influencer_push_random,mf-over-age,fair,0.1763224617731696,False,0.3785271197699237,False
ml-100k,cfair_influencer_push_random,neumf,base,0.0179073005312525,True,0.07906242121345444,False
ml-100k,cfair_influencer_push_least_favorite,ease-i,base,0.627274759010834,False,0.8004521354838348,False
ml-100k,cfair_influencer_push_least_favorite,ease-u,base,0.3961613074800762,False,0.6242702125102191,False
ml-100k,cfair_influencer_push_least_favorite,slim-i,base,0.0691548708820711,False,0.2129242077158505,False
ml-100k,cfair_influencer_push_least_favorite,slim-u,base,0.0034494949561749,True,0.02783385585327333,True
ml-100k,cfair_influencer_push_least_favorite,svd,base,0.0731731950970827,False,0.21776900497390903,False
ml-100k,cfair_influencer_push_least_favorite,mf,base,0.0203976869692102,True,0.08678288637809431,False
ml-100k,cfair_influencer_push_least_favorite,nmf,base,0.1245550201761276,False,0.30679868127593535,False
ml-100k,cfair_influencer_push_least_favorite,bnslim-u-age,fair,0.0068038499904619,True,0.04422502493800235,True
ml-100k,cfair_influencer_push_least_favorite,mf-value-age,fair,0.0008000685328263,True,0.008915049365778771,True
ml-100k,cfair_influencer_push_least_favorite,mf-absolute-age,fair,0.0013858737075632,True,0.0135122686487412,True
ml-100k,cfair_influencer_push_least_favorite,mf-under-age,fair,0.0001516779151914,True,0.0025351880110562573,True
ml-100k,cfair_influencer_push_least_favorite,mf-over-age,fair,0.4726173655126278,False,0.6912028970622182,False
ml-100k,cfair_influencer_push_least_favorite,neumf,base,0.5739689964825472,False,0.7718893400972185,False
ml-100k,cfair_influencer_nuke_favorite,ease-i,base,0.2881500599836129,False,0.530922157765082,False
ml-100k,cfair_influencer_nuke_favorite,ease-u,base,0.6086789447017261,False,0.7912826281122439,False
ml-100k,cfair_influencer_nuke_favorite,slim-i,base,0.1436486780556688,False,0.33729381668780345,False
ml-100k,cfair_influencer_nuke_favorite,slim-u,base,0.0081276281434102,True,0.048524545439565976,True
ml-100k,cfair_influencer_nuke_favorite,svd,base,0.0012587979038561,True,0.01280690041314467,True
ml-100k,cfair_influencer_nuke_favorite,mf,base,0.0131600697051771,True,0.06415533981273837,False
ml-100k,cfair_influencer_nuke_favorite,nmf,base,0.2325275681272984,False,0.45723908354443554,False
ml-100k,cfair_influencer_nuke_favorite,bnslim-u-age,fair,0.01696185654985,True,0.076328354474325,False
ml-100k,cfair_influencer_nuke_favorite,mf-value-age,fair,0.0001377360837491,True,0.0025351880110562573,True
ml-100k,cfair_influencer_nuke_favorite,mf-absolute-age,fair,0.0706212540137603,False,0.21461523947038846,False
ml-100k,cfair_influencer_nuke_favorite,mf-under-age,fair,0.0093471959556291,True,0.050866136130632775,False
ml-100k,cfair_influencer_nuke_favorite,mf-over-age,fair,0.3746873663599225,False,0.6117305600399293,False
ml-100k,cfair_influencer_nuke_favorite,neumf,base,0.5167174626643732,False,0.7112463897850785,False
ml-100k,cfair_favorite_push_random,ease-i,base,0.1590499567175212,False,0.3578624026144227,False
ml-100k,cfair_favorite_push_random,ease-u,base,0.9501909965882096,False,0.9944467077350267,False
ml-100k,cfair_favorite_push_random,slim-i,base,0.128196942640565,False,0.3124800476863772,False
ml-100k,cfair_favorite_push_random,slim-u,base,0.2104762213872817,False,0.4238370228480632,False
ml-100k,cfair_favorite_push_random,svd,base,0.0124018970027135,True,0.0630879108398904,False
ml-100k,cfair_favorite_push_random,mf,base,0.1203880956287471,False,0.30513436147137213,False
ml-100k,cfair_favorite_push_random,nmf,base,0.1970712510485041,False,0.4080944490738934,False
ml-100k,cfair_favorite_push_random,neumf,base,0.2551571110392971,False,0.4854208453918335,False
ml-100k,cfair_favorite_push_random,bnslim-u-age,fair,0.1628915362321628,False,0.3586010547105578,False
ml-100k,cfair_favorite_push_random,mf-value-age,fair,0.0039022473421561,True,0.029455673485952495,True
ml-100k,cfair_favorite_push_random,mf-absolute-age,fair,0.0022176220328372,True,0.0199585982955348,True
ml-100k,cfair_favorite_push_random,mf-under-age,fair,0.0024092409107165,True,0.020880087892876334,True
ml-100k,cfair_favorite_push_random,mf-over-age,fair,0.4100926574263734,False,0.6272005348873947,False
ml-100k,cfair_favorite_push_least_favorite,ease-i,base,0.7150585784432364,False,0.864359017113562,False
