dataset,attack_id,model,model_kind,p_value,significant_uncorrected,p_value_bh,significant_bh
ml-100k,cfair_influencer_push_random,neumf,base,0.5146434424670913,False,0.8466916173438601,False
ml-100k,cfair_influencer_push_random,ease-i,base,0.1421133431061624,False,0.47371114368720796,False
ml-100k,cfair_influencer_push_random,ease-u,base,0.0989355452819302,False,0.40560222901833204,False
ml-100k,cfair_influencer_push_random,slim-u,base,0.2551389105054433,False,0.6333313106766377,False
ml-100k,cfair_influencer_push_random,svd,base,0.3697044082256606,False,0.7209235960400382,False
ml-100k,cfair_influencer_push_random,mf,base,0.3835983332629304,False,0.7442952734952382,False
ml-100k,cfair_influencer_push_random,nmf,base,0.4315829668278127,False,0.7976364710762303,False
ml-100k,cfair_influencer_push_random,bnslim-u-gender,fair,0.2918859521815702,False,0.6467927349477977,False
ml-100k,cfair_influencer_push_random,mf-value-gender,fair,0.0050398631762112,True,0.07862186554889472,False
ml-100k,cfair_influencer_push_random,mf-absolute-gender,fair,0.0454555967225566,True,0.28593036648059794,False
ml-100k,cfair_influencer_push_random,mf-under-gender,fair,0.5548221118604361,False,0.8485514651983139,False
ml-100k,cfair_influencer_push_random,mf-over-gender,fair,0.3614339194094063,False,0.7119152958064063,False
ml-100k,cfair_influencer_push_random,slim-i,base,0.2787301064622441,False,0.6467927349477977,False
ml-100k,cfair_influencer_push_least_favorite,ease-i,base,0.4380757519763916,False,0.7983623517326762,False
ml-100k,cfair_influencer_push_least_favorite,ease-u,base,0.1196276425016612,False,0.434891408091772,False
ml-100k,cfair_influencer_push_least_favorite,slim-u,base,0.2023566977587821,False,0.555768395252993,False
ml-100k,cfair_influencer_push_least_favorite,svd,base,0.3420680731666611,False,0.696326146845428,False
ml-100k,cfair_influencer_push_least_favorite,mf,base,0.5162959754601862,False,0.8466916173438601,False
ml-100k,cfair_influencer_push_least_favorite,nmf,base,0.5459130253853766,False,0.8485514651983139,False
ml-100k,cfair_influencer_push_least_favorite,neumf,base,0.2834981434500836,False,0.6467927349477977,False
ml-100k,cfair_influencer_push_least_favorite,bnslim-u-gender,fair,0.2623506857988588,False,0.6356505941918961,False
ml-100k,cfair_influencer_push_least_favorite,mf-value-gender,fair,0.0771130845583161,False,0.37591011620524045,False
ml-100k,cfair_influencer_push_least_favorite,mf-absolute-gender,fair,0.0144934479509414,True,0.15701235280186515,False
ml-100k,cfair_influencer_push_least_favorite,mf-under-gender,fair,0.3239972998908579,False,0.677061303773691,False
ml-100k,cfair_influencer_push_least_favorite,mf-over-gender,fair,0.2524309410778546,False,0.6310773526946364,False
ml-100k,cfair_influencer_push_least_favorite,slim-i,base,0.218236114024794,False,0.5829594826689704,False
ml-100k,cfair_influencer_nuke_favorite,ease-i,base,0.4931882890820614,False,0.8466916173438601,False
ml-100k,cfair_influencer_nuke_favorite,ease-u,base,0.5335509556211202,False,0.8476290252219134,False
ml-100k,cfair_influencer_nuke_favorite,slim-u,base,0.6627515329304527,False,0.9069231503258828,False
ml-100k,cfair_influencer_nuke_favorite,svd,base,0.7097382339863099,False,0.9331085017651422,False
ml-100k,cfair_influencer_nuke_favorite,mf,base,0.7392518693507193,False,0.9483823323907254,False
ml-100k,cfair_influencer_nuke_favorite,nmf,base,0.5786888949434411,False,0.8747622830540389,False
ml-100k,cfair_influencer_nuke_favorite,neumf,base,0.0682899381258348,False,0.35990643066318334,False
ml-100k,cfair_influencer_nuke_favorite,bnslim-u-gender,fair,0.5209416563551162,False,0.8466916173438601,False
ml-100k,cfair_influencer_nuke_favorite,mf-value-gender,fair,0.1848184899367903,False,0.5453027273770586,False
ml-100k,cfair_influencer_nuke_favorite,mf-absolute-gender,fair,0.081148135909673,False,0.37591011620524045,False
ml-100k,cfair_influencer_nuke_favorite,mf-under-gender,fair,0.8176866598628232,False,0.9716181625499068,False
ml-100k,cfair_influencer_nuke_favorite,mf-over-gender,fair,0.6427218941062739,False,0.8932413558664488,False
ml-100k,cfair_influencer_nuke_favorite,slim-i,base,0.1537737219980744,False,0.5018883625780788,False
ml-100k,cfair_favorite_push_random,ease-i,base,0.949541675440049,False,1.0,False
ml-100k,cfair_favorite_push_random,ease-u,base,0.720862209117664,False,0.9363344702323543,False
ml-100k,cfair_favorite_push_random,slim-i,base,0.8352483489812692,False,0.9736879369235208,False
ml-100k,cfair_favorite_push_random,slim-u,base,0.1568884263703882,False,0.5018883625780788,False
ml-100k,cfair_favorite_push_random,svd,base,0.4356322265108642,False,0.7976364710762303,False
ml-100k,cfair_favorite_push_random,mf,base,0.6046995594816642,False,0.8892081959354287,False
ml-100k,cfair_favorite_push_random,nmf,base,0.6064855900482667,False,0.8892081959354287,False
ml-100k,cfair_favorite_push_random,neumf,base,0.2624096042689622,False,0.6356505941918961,False
ml-100k,cfair_favorite_push_random,bnslim-u-gender,fair,0.2384845211396385,False,0.6283143929019565,False
ml-100k,cfair_favorite_push_random,mf-value-gender,fair,0.504999457061046,False,0.8466916173438601,False
ml-100k,cfair_favorite_push_random,mf-absolute-gender,fair,0.2721665032622051,False,0.6384274550664555,False
ml-100k,cfair_favorite_push_random,mf-under-gender,fair,0.7712956264071349,False,0.9634999127932092,False
ml-100k,cfair_favorite_push_random,mf-over-gender,fair,0.2732062777442288,False,0.6384274550664555,False
ml-100k,cfair_favorite_push_least_favorite,neumf,base,0.2015337325688996,False,0.555768395252993,False
ml-100k,cfair_favorite_push_least_favorite,ease-i,base,0.8932291867100435,False,1.0,False
ml-100k,cfair_favorite_push_least_favorite,ease-u,base,0.4086881982105413,False,0.7699922574981213,False
ml-100k,cfair_favorite_push_least_favorite,slim-i,base,0.9703694268496144,False,1.0,False
ml-100k,cfair_favorite_push_least_favorite,slim-u,base,0.2733779102464053,False,0.6384274550664555,False
ml-100k,cfair_favorite_push_least_favorite,svd,base,0.2902049670641679,False,0.6467927349477977,False
ml-100k,cfair_favorite_push_least_favorite,mf,base,0.6125331370870499,False,0.8905369384258305,False
ml-100k,cfair_favorite_push_least_favorite,nmf,base,0.8142350329227568,False,0.9716181625499068,False
ml-100k,cfair_favorite_push_least_favorite,bnslim-u-gender,fair,0.3434299196455074,False,0.696326146845428,False
ml-100k,cfair_favorite_push_least_favorite,mf-value-gender,fair,0.1115302420006692,False,0.426439160590794,False
ml-100k,cfair_favorite_push_least_favorite,mf-absolute-gender,fair,0.01651189811232,True,0.17201880313923373,False
ml-100k,cfair_favorite_push_least_favorite,mf-under-gender,fair,0.4157258760516092,False,0.7792490788961608,False
ml-100k,cfair_favorite_push_least_favorite,mf-over-gender,fair,0.5943628915539049,False,0.8780360897955414,False
ml-100k,cfair_reverse_favorite_nuke_favorite,neumf,base,0.1060020260496875,False,0.41890938690029367,False
ml-100k,cfair_reverse_favorite_nuke_favorite,ease-i,base,0.2458013685242305,False,0.6301808165568793,False
ml-100k,cfair_reverse_favorite_nuke_favorite,ease-u,base,0.8321521903006048,False,0.9736879369235208,False
ml-100k,cfair_reverse_favorite_nuke_favorite,slim-i,base,0.5075185999828543,False,0.8466916173438601,False
