dataset,dataset_label,model,clean_gamma,full_gamma,full_p_value,full_significant,sampling_gamma,sampling_p_value,sampling_significant,top1_gamma,top1_p_value,top1_significant,top5_gamma,top5_p_value,top5_significant,top10_gamma,top10_p_value,top10_significant,lowest_post_attack
ml-100k,ML100K,bnslim-u-gender,0.964437698638757,0.935308053030932,0.2918859521815702,False,0.9590653452235968,0.3360111689875888,False,0.9624970617745032,0.7306856569217064,False,0.9259739681730128,0.1017462439927211,False,0.9135977170462164,0.0456220352986232,True,top10
ml-100k,ML100K,ease-u,0.993665740246118,0.8726144482008362,0.0989355452819302,False,0.9451340812199208,0.009964133701239,True,1.000760328701272,0.7194802866307574,False,0.9795985994963052,0.6067383743538242,False,0.9701974777214276,0.5954722553855609,False,full
ml-100k,ML100K,mf-absolute-gender,1.1417705550455466,0.8896624635117665,0.0454555967225566,True,0.920331802904232,0.0074298000481789,True,0.937088396962901,0.0165310536401131,True,0.7593515816260223,0.0046077564902281,True,0.8643842312797991,0.0151625059866638,True,top5
ml-100k,ML100K,mf-value-gender,1.0660592351332705,0.9313994735689636,0.0050398631762112,True,0.9892512121415734,0.1019235488048142,False,0.9304703541479302,0.0333141148882798,True,0.9235179561449224,0.2241851691359103,False,0.9563426716996972,0.0753905076434077,False,top5
ml-1m,ML1M,ease-u,0.905783376545782,0.8940293114726422,0.0203663788557821,True,0.9090337692833445,0.8680064787712467,False,0.9061081971069994,0.2617400436271517,False,0.9000325013653266,0.3680745751698137,False,0.8971994047284926,0.2239863152312222,False,full
ml-1m,ML1M,mf-over-gender,0.8375170723124229,0.8033920105602558,0.1670042783116853,False,0.8245027974986988,0.4481759391258301,False,0.7709392277388182,0.1525610599074763,False,0.7660758270760162,0.0216244185536346,True,0.739595264858548,0.0019520234534334,True,top10
ml-1m,ML1M,mf-under-gender,0.8163784648892367,0.434419136314232,0.0984311530322007,False,0.583508653067134,0.0490776825516261,True,0.672535066439555,0.0157579992779079,True,0.4279304962614542,0.1345305052983185,False,0.7708153531028792,1.275315623892114e-05,True,top5
ml-1m,ML1M,mf-value-gender,0.8242688543080903,0.8005449548230466,0.1008805543968672,False,0.7578983428934133,0.0467411373635425,True,0.8041540110766436,0.181638603185307,False,0.7764645970792063,0.1600166055747378,False,0.7773917820541497,0.0194751719978258,True,sampling
lastfm-1k,LFM1K,bnslim-u-gender,0.9296353046539396,0.8260367725054032,0.1207443120167728,False,0.8318891946447807,9.52756317966876e-05,True,0.924718175950066,0.6680172375860693,False,0.8872727323400466,0.627977005409568,False,0.8548619590788993,0.3984335835117317,False,full
lastfm-1k,LFM1K,ease-i,0.9969215607741988,0.8905686414344547,0.022812597580612,True,0.9108480725881132,0.0165596889684493,True,0.9925384381035828,0.5012643951890582,False,0.9475037045815164,0.0978593038892413,False,0.9005789952947406,0.0470967038276024,True,full
lastfm-1k,LFM1K,ease-u,0.980404640387624,0.8694196543444933,0.0180666995510545,True,0.8716626868854255,5.879831938072778e-05,True,0.9647277935687048,0.4967024114421572,False,0.9299586081460416,0.3779494596239103,False,0.8979416870935863,0.0296864477436013,True,full
lastfm-1k,LFM1K,mf,0.9813736459867612,0.8448551899599743,0.0076014858266363,True,0.931518677100721,0.0165129109293303,True,0.9490294480487952,0.2373710951086948,False,0.9164648737238922,0.0970695294577748,False,0.899249517329014,0.133740651505837,False,full
lastfm-1k,LFM1K,mf-absolute-gender,0.962919802538903,0.8151255609972987,0.0736962530018896,False,0.8828141706027278,0.0421323382821291,True,0.9845160000501938,0.7235276771119653,False,0.925226544735856,0.2705757692768484,False,0.8805316496080349,0.2488705706781945,False,full
lastfm-1k,LFM1K,mf-under-gender,0.960650613222962,0.802916234419221,0.0285494883541049,True,0.8851915054673786,0.0720780049862555,False,0.9782407967901566,0.5082713251263892,False,0.9195319498870812,0.2756422338049217,False,0.8741314776094952,0.2060125152619624,False,full
lastfm-1k,LFM1K,mf-value-gender,0.9574721132277558,0.7984763254530146,0.0252067717541727,True,0.8756046249092192,0.0571900825548525,False,0.9701237285396882,0.6283376719642386,False,0.9114026906082052,0.3628377460016827,False,0.8776378861311082,0.0618711171372432,False,full
lastfm-1k,LFM1K,slim-i,0.9912910489886604,0.8876638543205877,0.4631054879520996,False,0.8989076119574708,0.0131753725851976,True,0.9926667473919242,0.6985217300130107,False,0.9537331130231133,0.5166218182020397,False,0.9066658543827986,0.1136933502617473,False,full
lastfm-1k,LFM1K,slim-u,0.9294911228416078,0.8234689501422081,0.094252669285592,False,0.8307987992661737,0.0003690180595507,True,0.9277725527202776,0.9498833835436802,False,0.8889512386805735,0.9308923755517386,False,0.8534149213616975,0.4932689312292103,False,full
ftky,FTKY,bnslim-u-gender,0.9531424689529284,0.7660191302223917,9.102552452481488e-12,True,0.9070490604541864,0.0017179184070784,True,0.9504865707258692,0.4616528186478772,False,0.9357381953996932,0.1503844669545008,False,0.917571762196691,0.0455180506548945,True,full
ftky,FTKY,ease-i,0.9594499818112108,0.923982416628052,0.0413167588308455,True,0.9554858251556408,0.786504445323162,False,0.9658910024472078,0.9441648957823972,False,0.9498638282109452,0.4866459248945847,False,0.9489555447874526,0.7213620184925237,False,full
ftky,FTKY,mf-absolute-gender,0.9901897600009376,0.8103198524260471,0.0008586733867777,True,0.8194131846664915,0.0129844716065119,True,0.8579142637955453,0.007579156327731,True,0.828273973317794,0.0024479909990764,True,0.8547796780048369,0.0571273762171554,False,full
ftky,FTKY,mf-value-gender,0.9376554142324476,0.8483917898739144,0.0288793821833166,True,0.840062568899552,0.0357192171520652,True,0.8934914442442253,0.1218724727177589,False,0.8812074838062771,0.0998274546297569,False,0.8894022338329647,0.1061986906641645,False,sampling
ftky,FTKY,slim-u,0.9551759121947004,0.7847848946893804,2.919328449873806e-15,True,0.9104136908427654,9.034521115381372e-06,True,0.9460747409637856,0.1150852143727127,False,0.934547178314432,0.1630554749393507,False,0.923306479017664,0.2238649331698302,False,full
ftky,FTKY,svd,0.9524176449645602,0.948221730567246,0.2867443803704584,False,0.950695094816968,0.03949971519883,True,0.9644182706928404,0.8573099052426345,False,0.947141158346906,0.4738716128783479,False,0.9493213150818413,0.3064985500641102,False,top5
fnyc,FNYC,bnslim-u-gender,0.9750675618744534,0.9119248049833466,0.2662516384081602,False,0.9289622262945088,0.0459398331331191,True,0.9807153292857304,0.9492734808968508,False,0.9744972789875268,0.3852476504406533,False,0.9745284194504996,0.7961493633096062,False,full
fnyc,FNYC,ease-i,0.9372870350122324,0.8759013930085479,0.0271908262418639,True,0.9278659337942402,0.4649571403119858,False,0.93976661400981,0.552068444984894,False,0.9336155510652348,0.2055492558121652,False,0.9431514886565616,0.5808519351003517,False,full
fnyc,FNYC,mf-absolute-gender,1.01526707311371,0.7592657036817225,0.0088564445817465,True,0.8567423934805132,0.0832115952505779,False,0.7272617144172725,0.0022992727356843,True,0.9107083897421376,0.0919335503105468,False,0.8231415156696879,0.0457756137247231,True,top1
fnyc,FNYC,slim-u,0.9860286504013974,0.9102715145857148,0.0393580004197197,True,0.9299272631143536,0.0116857392087785,True,0.9916362879967562,0.8512043700245584,False,0.9903041860319522,0.4786767247254231,False,0.9875491853710804,0.8700922461918772,False,full
