dataset,model,model_kind,attack_id,attack,c_fairness,p_value,significant_p_0_05,p_value_bh_all,significant_bh_all,included_in_table
ml-100k,bnslim-u-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.935308053030932,0.2918859521815702,False,0.6906307164057479,False,True
ml-100k,bnslim-u-gender,fair,cfair_sampling_push_random,Sampling,0.9590653452235968,0.3360111689875888,False,0.7428818361970501,False,True
ml-100k,bnslim-u-gender,fair,cfair_influencer_top1_push_random,Top-1,0.9624970617745032,0.7306856569217064,False,0.9240188268465158,False,True
ml-100k,bnslim-u-gender,fair,cfair_influencer_top5_push_random,Top-5,0.9259739681730128,0.1017462439927211,False,0.42468145335339247,False,True
ml-100k,bnslim-u-gender,fair,cfair_influencer_top10_push_random,Top-10,0.9135977170462164,0.0456220352986232,True,0.3061285748794156,False,True
ml-100k,ease-i,base,cfair_influencer_push_random,C-Fair Influencer,0.9619945270890206,0.1421133431061624,False,0.5131870723278086,False,False
ml-100k,ease-i,base,cfair_sampling_push_random,Sampling,0.9806770639391718,0.777012439280796,False,0.9565494044176466,False,False
ml-100k,ease-i,base,cfair_influencer_top1_push_random,Top-1,0.9629829063311256,0.2134177742433347,False,0.6227365809330841,False,False
ml-100k,ease-i,base,cfair_influencer_top5_push_random,Top-5,0.9467564102711862,0.3342952050358271,False,0.7428818361970501,False,False
ml-100k,ease-i,base,cfair_influencer_top10_push_random,Top-10,0.9598343512844344,0.4939768074322166,False,0.8014811799214844,False,False
ml-100k,ease-u,base,cfair_influencer_push_random,C-Fair Influencer,0.8726144482008362,0.0989355452819302,False,0.42468145335339247,False,True
ml-100k,ease-u,base,cfair_sampling_push_random,Sampling,0.9451340812199208,0.009964133701239,True,0.17043912910014078,False,True
ml-100k,ease-u,base,cfair_influencer_top1_push_random,Top-1,1.000760328701272,0.7194802866307574,False,0.9185409963335497,False,True
ml-100k,ease-u,base,cfair_influencer_top5_push_random,Top-5,0.9795985994963052,0.6067383743538242,False,0.8648682967762844,False,True
ml-100k,ease-u,base,cfair_influencer_top10_push_random,Top-10,0.9701974777214276,0.5954722553855609,False,0.8525483832612656,False,True
