dataset,dataset_label,attack_id,attack,gamma_base,delta_gamma_base,delta_m_max_base,gamma_below_base,gamma_below_induced_base,n_models_base,gamma_min_model_base,delta_gamma_min_model_base,delta_m_max_model_base,sig_base,sig_uncorrected_base,gamma_fair,delta_gamma_fair,delta_m_max_fair,gamma_below_fair,gamma_below_induced_fair,n_models_fair,gamma_min_model_fair,delta_gamma_min_model_fair,delta_m_max_model_fair,sig_fair,sig_uncorrected_fair
ml-100k,ML100K,power_user,\textsc{PowerUser},"$[0.82, 1.05]$","$[-0.03, 0.10]$",$3.0$,0,0,8,svd,slim-u,svd,0,0,"$[0.95, 1.05]$","$[-0.15, 0.09]$",$1.0$,0,0,5,bnslim-u-gender,mf-absolute-gender,bnslim-u-gender,0,0
ml-100k,ML100K,bandwagon,\textsc{Bandwagon},"$[0.84, 0.99]$","$[-0.03, 0.02]$",$2.7$,0,0,8,svd,neumf,svd,0,0,"$[0.96, 1.03]$","$[-0.12, 0.00]$",$0.7$,0,0,5,mf-under-gender,mf-absolute-gender,bnslim-u-gender,0,0
ml-100k,ML100K,reverse_bandwagon,\textsc{ReverseBandwagon},"$[0.83, 1.06]$","$[-0.08, 0.10]$",$2.8$,0,0,8,svd,mf,svd,0,0,"$[0.91, 1.01]$","$[-0.13, 0.00]$",$1.1$,0,0,5,mf-over-gender,mf-absolute-gender,mf-over-gender,0,0
ml-1m,ML1M,power_user,\textsc{PowerUser},"$[0.72, 0.91]$","$[-0.03, 0.05]$",$2.9$,2,0,8,mf,mf,svd,0,0,"$[0.63, 0.88]$","$[-0.19, 0.00]$",$1.9$,4,4,5,mf-under-gender,mf-under-gender,mf-absolute-gender,0,3
ml-1m,ML1M,bandwagon,\textsc{Bandwagon},"$[0.77, 0.93]$","$[-0.01, 0.08]$",$3.1$,1,0,8,svd,svd,svd,0,0,"$[0.66, 0.88]$","$[-0.15, 0.00]$",$2.0$,3,3,5,mf-under-gender,mf-under-gender,mf-absolute-gender,0,0
ml-1m,ML1M,reverse_bandwagon,\textsc{ReverseBandwagon},"$[0.78, 0.91]$","$[-0.00, 0.09]$",$2.9$,1,0,8,svd,slim-i,svd,0,0,"$[0.76, 0.88]$","$[-0.05, 0.01]$",$1.7$,3,3,5,mf-absolute-gender,mf-value-gender,bnslim-u-gender,0,0
lastfm-1k,LFM1K,power_user,\textsc{PowerUser},"$[0.90, 1.07]$","$[-0.03, 0.30]$",$2.9$,0,0,8,slim-u,ease-u,slim-u,0,0,"$[0.62, 1.09]$","$[-0.34, 0.15]$",$2.9$,3,3,5,mf-value-gender,mf-value-gender,bnslim-u-gender,0,0
lastfm-1k,LFM1K,bandwagon,\textsc{Bandwagon},"$[0.91, 1.22]$","$[-0.03, 0.48]$",$2.7$,0,0,8,slim-u,svd,slim-u,0,0,"$[0.91, 0.97]$","$[-0.02, 0.02]$",$2.7$,0,0,5,bnslim-u-gender,bnslim-u-gender,bnslim-u-gender,0,0
lastfm-1k,LFM1K,reverse_bandwagon,\textsc{ReverseBandwagon},"$[0.93, 1.17]$","$[-0.04, 0.42]$",$2.2$,0,0,8,slim-u,mf,slim-u,0,0,"$[0.93, 0.94]$","$[-0.03, 0.00]$",$2.2$,0,0,5,mf-value-gender,mf-value-gender,bnslim-u-gender,0,0
ftky,FTKY,power_user,\textsc{PowerUser},"$[0.85, 1.04]$","$[-0.04, 0.07]$",$2.5$,0,0,8,nmf,mf,nmf,0,0,"$[0.84, 0.98]$","$[-0.15, 0.01]$",$3.6$,0,0,5,mf-absolute-gender,mf-absolute-gender,mf-value-gender,0,2
ftky,FTKY,bandwagon,\textsc{Bandwagon},"$[0.84, 1.04]$","$[-0.07, 0.08]$",$2.7$,0,0,8,nmf,mf,nmf,0,0,"$[0.85, 0.95]$","$[-0.14, -0.00]$",$3.3$,0,0,5,mf-absolute-gender,mf-absolute-gender,mf-absolute-gender,0,1
ftky,FTKY,reverse_bandwagon,\textsc{ReverseBandwagon},"$[0.84, 0.97]$","$[-0.04, 0.00]$",$2.6$,0,0,8,nmf,mf,nmf,0,0,"$[0.89, 0.95]$","$[-0.05, 0.01]$",$2.7$,0,0,5,mf-under-gender,mf-absolute-gender,mf-under-gender,0,1
fnyc,FNYC,power_user,\textsc{PowerUser},"$[0.82, 0.99]$","$[-0.07, 0.04]$",$4.0$,0,0,8,neumf,neumf,ease-u,0,1,"$[0.87, 0.98]$","$[-0.15, 0.11]$",$2.6$,0,0,5,mf-absolute-gender,mf-absolute-gender,mf-absolute-gender,0,0
fnyc,FNYC,bandwagon,\textsc{Bandwagon},"$[0.74, 0.99]$","$[-0.16, 0.01]$",$3.6$,1,1,8,neumf,neumf,ease-u,0,0,"$[0.82, 0.98]$","$[-0.19, 0.03]$",$3.1$,0,0,5,mf-absolute-gender,mf-absolute-gender,mf-value-gender,0,0
fnyc,FNYC,reverse_bandwagon,\textsc{ReverseBandwagon},"$[0.79, 0.99]$","$[-0.11, 0.00]$",$4.1$,1,1,8,neumf,neumf,ease-u,0,0,"$[0.81, 0.98]$","$[-0.19, 0.02]$",$4.0$,0,0,5,mf-over-gender,mf-absolute-gender,mf-over-gender,0,1
