dataset,attack_id,model,model_kind,p_value,significant_uncorrected,p_value_bh,significant_bh
ml-100k,power_user,ease-i,base,0.5286647898714288,False,0.9867541411800274,False
ml-100k,power_user,ease-u,base,0.3609686250145048,False,0.9867541411800274,False
ml-100k,power_user,slim-i,base,0.4088273230662524,False,0.9867541411800274,False
ml-100k,power_user,slim-u,base,0.289509715007242,False,0.9867541411800274,False
ml-100k,power_user,svd,base,0.103604493909587,False,0.8510248042948175,False
ml-100k,power_user,mf,base,0.6767976332223128,False,0.9867541411800274,False
ml-100k,power_user,nmf,base,0.857995752308421,False,1.0,False
ml-100k,power_user,bnslim-u-gender,fair,0.4237962480167284,False,0.9867541411800274,False
ml-100k,power_user,mf-value-gender,fair,0.3695606727509136,False,0.9867541411800274,False
ml-100k,power_user,mf-absolute-gender,fair,0.263305885971122,False,0.9867541411800274,False
ml-100k,power_user,mf-under-gender,fair,0.5616611595910966,False,0.9867541411800274,False
ml-100k,power_user,mf-over-gender,fair,0.527397692797675,False,0.9867541411800274,False
ml-100k,power_user,neumf,base,0.9008990722787498,False,1.0,False
ml-100k,bandwagon,ease-i,base,0.8917681473955725,False,1.0,False
ml-100k,bandwagon,ease-u,base,0.8184336484899604,False,0.9912705680468464,False
ml-100k,bandwagon,slim-i,base,0.7302866568169519,False,0.9867541411800274,False
ml-100k,bandwagon,slim-u,base,0.8748171668564271,False,1.0,False
ml-100k,bandwagon,svd,base,0.3736339529522243,False,0.9867541411800274,False
ml-100k,bandwagon,mf,base,0.7117938570529929,False,0.9867541411800274,False
ml-100k,bandwagon,nmf,base,0.4976062405731455,False,0.9867541411800274,False
ml-100k,bandwagon,bnslim-u-gender,fair,0.8855827690046663,False,1.0,False
ml-100k,bandwagon,mf-value-gender,fair,0.2002105850056967,False,0.9295491446693062,False
ml-100k,bandwagon,mf-absolute-gender,fair,0.1586516705392557,False,0.8510248042948175,False
ml-100k,bandwagon,mf-under-gender,fair,0.5053031325796927,False,0.9867541411800274,False
ml-100k,bandwagon,mf-over-gender,fair,0.3698620295948169,False,0.9867541411800274,False
ml-100k,bandwagon,neumf,base,0.7014939488084946,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,ease-i,base,0.0711422020875635,False,0.8510248042948175,False
ml-100k,reverse_bandwagon,ease-u,base,0.7229691629406453,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,slim-i,base,0.7232026495512157,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,slim-u,base,0.942167300443251,False,1.0,False
ml-100k,reverse_bandwagon,svd,base,0.3725335289915607,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,mf,base,0.5595724870022193,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,nmf,base,0.657023041938417,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,bnslim-u-gender,fair,0.942167300443251,False,1.0,False
ml-100k,reverse_bandwagon,mf-value-gender,fair,0.3261629464225246,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,mf-absolute-gender,fair,0.2275786178927898,False,0.9647354454150872,False
ml-100k,reverse_bandwagon,mf-under-gender,fair,0.611834283744241,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,mf-over-gender,fair,0.2678878981314027,False,0.9867541411800274,False
ml-100k,reverse_bandwagon,neumf,base,0.7227130281545641,False,0.9867541411800274,False
ml-1m,power_user,ease-i,base,0.6349744347384594,False,0.9867541411800274,False
ml-1m,power_user,ease-u,base,0.9100148227133722,False,1.0,False
ml-1m,power_user,slim-i,base,0.2227713469223095,False,0.9647354454150872,False
ml-1m,power_user,slim-u,base,0.4447672866020013,False,0.9867541411800274,False
ml-1m,power_user,svd,base,0.4027538795814733,False,0.9867541411800274,False
ml-1m,power_user,mf,base,0.7107474942727674,False,0.9867541411800274,False
ml-1m,power_user,nmf,base,0.8306422297968903,False,0.9937130969962797,False
ml-1m,power_user,bnslim-u-gender,fair,0.6793788224817797,False,0.9867541411800274,False
ml-1m,power_user,mf-value-gender,fair,0.0274043659004661,True,0.8510248042948175,False
ml-1m,power_user,mf-absolute-gender,fair,0.019359794680388,True,0.8510248042948175,False
ml-1m,power_user,mf-under-gender,fair,0.0615973136306583,False,0.8510248042948175,False
ml-1m,power_user,mf-over-gender,fair,0.0389565241116139,True,0.8510248042948175,False
ml-1m,power_user,neumf,base,0.8929687722427848,False,1.0,False
ml-1m,bandwagon,ease-i,base,0.1789334203901924,False,0.8510248042948175,False
ml-1m,bandwagon,ease-u,base,0.7824682702285668,False,0.9867541411800274,False
ml-1m,bandwagon,slim-i,base,0.7609448848647827,False,0.9867541411800274,False
ml-1m,bandwagon,slim-u,base,0.4744180565705634,False,0.9867541411800274,False
ml-1m,bandwagon,svd,base,0.0971449375070784,False,0.8510248042948175,False
ml-1m,bandwagon,mf,base,0.97368932233797,False,1.0,False
