key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_b1290586aa4ca1140425,ml-100k,ease-i,bandwagon,gender,f,m,10,75,,0.1,27
rk_5a3cc42850406b15c508,ml-100k,ease-u,bandwagon,gender,m,f,10,75,,0.1,67
rk_ae7c1b021eb8502941b3,ml-100k,slim-i,bandwagon,gender,f,m,10,75,,0.1,27
rk_1bde41175102b360c22b,ml-100k,slim-u,bandwagon,gender,f,m,10,75,,0.1,27
rk_88c34f9c50c18591ecfb,ml-100k,svd,bandwagon,gender,f,m,10,75,,0.1,27
rk_015ed2b6095297de956c,ml-100k,mf,bandwagon,gender,m,f,10,75,,0.1,67
rk_68b021a8747f4af2f239,ml-100k,nmf,bandwagon,gender,f,m,10,75,,0.1,27
rk_a916e137192841317237,ml-100k,bnslim-u-gender,bandwagon,gender,f,m,10,75,,0.1,27
rk_8fbfab030886c6e9f808,ml-100k,mf-value-gender,bandwagon,gender,m,f,10,75,,0.1,67
rk_d2adfaac97ccfcde1367,ml-100k,mf-absolute-gender,bandwagon,gender,m,f,10,75,,0.1,67
rk_22c53c8d38b46c58f246,ml-100k,mf-under-gender,bandwagon,gender,m,f,10,75,,0.1,67
rk_83aa7d25da46b2aa3945,ml-100k,mf-over-gender,bandwagon,gender,m,f,10,75,,0.1,67
rk_bc352cfeff52f4bcf923,ml-100k,ease-i,bandwagon,gender,f,m,10,75,,0.25,68
rk_009c1349bdba8d098714,ml-100k,ease-u,bandwagon,gender,m,f,10,75,,0.25,168
rk_5028dc14ea17ee43ed27,ml-100k,slim-i,bandwagon,gender,f,m,10,75,,0.25,68
rk_fb29f9d40d9445f64ebf,ml-100k,slim-u,bandwagon,gender,f,m,10,75,,0.25,68
rk_dbd46d7379b628e7f9de,ml-100k,svd,bandwagon,gender,f,m,10,75,,0.25,68
rk_5e24e2fe4ffa46d07917,ml-100k,mf,bandwagon,gender,m,f,10,75,,0.25,168
rk_cd2b149bcc61b99f302c,ml-100k,nmf,bandwagon,gender,f,m,10,75,,0.25,68
rk_f301926a2d080bab84ba,ml-100k,bnslim-u-gender,bandwagon,gender,f,m,10,75,,0.25,68
rk_3b36637fdfc4b2a61303,ml-100k,mf-value-gender,bandwagon,gender,m,f,10,75,,0.25,168
rk_c74be17b72600cef4c22,ml-100k,mf-absolute-gender,bandwagon,gender,m,f,10,75,,0.25,168
rk_8823958ff9a3a6876854,ml-100k,mf-under-gender,bandwagon,gender,m,f,10,75,,0.25,168
rk_7934c0ffc3d49d87aa32,ml-100k,mf-over-gender,bandwagon,gender,m,f,10,75,,0.25,168
rk_ee9b4d8066f1b97fe49b,ml-100k,neumf,bandwagon,gender,f,m,10,75,,0.1,27
rk_891aba08794aebbe6b4d,ml-100k,neumf,bandwagon,gender,f,m,10,75,,0.25,68
