key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_b624c4721f7b3e06ebcf,ml-100k,neumf,cfair_favorite_push_least_favorite,gender,f,m,10,57,,0.1,27
rk_d877ccd42db132a3bd06,ml-100k,neumf,cfair_favorite_push_least_favorite,gender,f,m,10,57,,0.25,68
rk_45fe87dc725506de822b,ml-100k,neumf,cfair_favorite_push_least_favorite,gender,f,m,10,57,,0.5,136
rk_013fbfcffb8f79799b27,ml-100k,neumf,cfair_favorite_push_least_favorite,gender,f,m,10,57,,0.75,205
rk_db86f7cf68bd41b028ca,ml-100k,neumf,cfair_favorite_push_least_favorite,gender,f,m,10,57,,1.0,273
rk_bed4564201412824df0f,ml-100k,ease-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.1,27
rk_ebc1a031f129cb737efd,ml-100k,ease-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.25,68
rk_4fbeb4a96f594b5e71d5,ml-100k,ease-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.5,136
rk_db6ea30ee4951a40d3d8,ml-100k,ease-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.75,205
rk_7655403ab28b9ec935bd,ml-100k,ease-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,1.0,273
rk_58779829561b0f795a7b,ml-100k,ease-u,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.1,67
rk_83031d9615b4371010d8,ml-100k,ease-u,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.25,168
rk_4acca64db4c2172b8d57,ml-100k,ease-u,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.5,335
rk_65292ed5c53d36dadde6,ml-100k,ease-u,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.75,502
rk_9c4b116eebfde50cb91a,ml-100k,ease-u,cfair_favorite_push_least_favorite,gender,m,f,10,79,,1.0,670
rk_38fbe430a83d3e00449a,ml-100k,slim-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.1,27
rk_521ff84e10616047317b,ml-100k,slim-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.25,68
rk_eef7ee6f659b74241b4e,ml-100k,slim-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.5,136
rk_c1bfc8bf40557603497b,ml-100k,slim-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.75,205
rk_910ff433def684627ab1,ml-100k,slim-i,cfair_favorite_push_least_favorite,gender,f,m,10,66,,1.0,273
rk_76bd7b3798c7711c0d12,ml-100k,slim-u,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.1,27
rk_fb5ed5c96118faa7b178,ml-100k,slim-u,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.25,68
rk_46d1cb7c8ae63e694c0d,ml-100k,slim-u,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.5,136
rk_4d9a5734c0d4f9748923,ml-100k,slim-u,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.75,205
rk_c6ead954964d1bdd302e,ml-100k,slim-u,cfair_favorite_push_least_favorite,gender,f,m,10,66,,1.0,273
rk_24a0aa544b576ff527dd,ml-100k,svd,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.1,27
rk_56fe8809771a7a50674f,ml-100k,svd,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.25,68
rk_8cd6be507901f00ed175,ml-100k,svd,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.5,136
rk_92c8a0737fad49ddcb11,ml-100k,svd,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.75,205
rk_7f4f71312a3c7fec0508,ml-100k,svd,cfair_favorite_push_least_favorite,gender,f,m,10,66,,1.0,273
rk_0b663b0a6dd232aa483f,ml-100k,mf,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.1,67
rk_45bfed895f3786b377e6,ml-100k,mf,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.25,168
rk_32ec8d2dcb7f0e8e030b,ml-100k,mf,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.5,335
rk_f27a8c7102cd3664f400,ml-100k,mf,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.75,502
rk_946431bb3aa0271cd0b9,ml-100k,mf,cfair_favorite_push_least_favorite,gender,m,f,10,79,,1.0,670
rk_6d7a926531f96b33b16f,ml-100k,nmf,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.1,27
rk_74cc8358edfda3ff201c,ml-100k,nmf,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.25,68
rk_495c7ab7c7a9623c7bb1,ml-100k,nmf,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.5,136
rk_39f4764cbfe660a079a2,ml-100k,nmf,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.75,205
rk_a3ed448c0841480989c1,ml-100k,nmf,cfair_favorite_push_least_favorite,gender,f,m,10,66,,1.0,273
rk_9aeb29cce901065b9556,ml-100k,bnslim-u-gender,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.1,27
rk_2a347b7e04b7f0b3041f,ml-100k,bnslim-u-gender,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.25,68
rk_85763f2aab316bde4ce4,ml-100k,bnslim-u-gender,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.5,136
rk_57f97b7542df7e360677,ml-100k,bnslim-u-gender,cfair_favorite_push_least_favorite,gender,f,m,10,66,,0.75,205
rk_db831ac2986020ba0338,ml-100k,bnslim-u-gender,cfair_favorite_push_least_favorite,gender,f,m,10,66,,1.0,273
rk_5511cd6d9286fdf0f482,ml-100k,mf-value-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.1,67
rk_906747a62af2c20f0566,ml-100k,mf-value-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.25,168
rk_163a4a93769347975231,ml-100k,mf-value-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.5,335
rk_c2e62cc5cd9ce4654320,ml-100k,mf-value-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.75,502
rk_340ad15f3c9cb1bab994,ml-100k,mf-value-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,1.0,670
rk_d92f790be2325d1b027c,ml-100k,mf-absolute-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.1,67
rk_b54553c0dafdc3a03069,ml-100k,mf-absolute-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.25,168
rk_7dc603ec3b39a201100d,ml-100k,mf-absolute-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.5,335
rk_05c9236986216658e6e0,ml-100k,mf-absolute-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.75,502
rk_5ec7dc5baad9e70651a0,ml-100k,mf-absolute-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,1.0,670
rk_ad7d620285f36d681379,ml-100k,mf-under-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.1,67
rk_c09cc193f95e88aae852,ml-100k,mf-under-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.25,168
rk_92ef390a1a7bd6578431,ml-100k,mf-under-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.5,335
rk_8c106d0d94dfeb6400cc,ml-100k,mf-under-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.75,502
rk_a1e7bbed6b48f87497b9,ml-100k,mf-under-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,1.0,670
rk_4c94e8990a46ea7e4028,ml-100k,mf-over-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.1,67
rk_cdc0e244556bbb16c5de,ml-100k,mf-over-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.25,168
rk_c7b537b0ef75d32e0a6f,ml-100k,mf-over-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.5,335
rk_ec83c1a93ece83361351,ml-100k,mf-over-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,0.75,502
rk_c0f689194280f6125c9e,ml-100k,mf-over-gender,cfair_favorite_push_least_favorite,gender,m,f,10,79,,1.0,670
rk_9d10cb505b41b9e84dfb,ml-100k,ease-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.1,67
rk_0211a274161c6113a9f8,ml-100k,ease-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.25,168
rk_df87dd815e15c5068338,ml-100k,ease-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.5,336
rk_8f03336b8bb744592b02,ml-100k,ease-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.75,503
rk_db9bc0f0793db2e8d753,ml-100k,ease-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,1.0,671
rk_66180ee09fe64cd9ff51,ml-100k,ease-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.1,67
rk_54acb9338639de1d49d3,ml-100k,ease-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.25,168
rk_bd8cc5d4f563ad002cb0,ml-100k,ease-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.5,336
rk_a54bcc14a5003fdade2c,ml-100k,ease-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.75,503
rk_9256758a3732d506eb49,ml-100k,ease-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,1.0,671
rk_a8004ec291b22e74f6d1,ml-100k,slim-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.1,67
rk_50081ff1069aaa8b37ef,ml-100k,slim-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.25,168
rk_a3649583ceb12af90f2c,ml-100k,slim-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.5,336
rk_4aeada14f947707b5c42,ml-100k,slim-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.75,503
rk_bc2f65ca246df10c9bce,ml-100k,slim-i,cfair_favorite_push_least_favorite,age,y,o,10,80,,1.0,671
rk_f28b9ca8318726e910ea,ml-100k,slim-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.1,67
rk_a71b3ace5d6fb4edba7e,ml-100k,slim-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.25,168
rk_ff3c5adc119258e8f50b,ml-100k,slim-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.5,336
rk_edab5cb179c7f19deaff,ml-100k,slim-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.75,503
rk_2b41fc3d1d55f674d976,ml-100k,slim-u,cfair_favorite_push_least_favorite,age,y,o,10,80,,1.0,671
rk_5fc57ffe6542d0df06ed,ml-100k,svd,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.1,67
rk_f34dc1f632cf655f84bf,ml-100k,svd,cfair_favorite_push_least_favorite,age,y,o,10,80,,0.25,168
