run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,precision,recall,ndcg,precision_m,recall_m,ndcg_m,precision_f,recall_f,ndcg_f,precision_y,recall_y,ndcg_y,precision_o,recall_o,ndcg_o,precision_gender_ratio,recall_gender_ratio,ndcg_gender_ratio,precision_age_ratio,recall_age_ratio,ndcg_age_ratio,mannwhitney_u,p_value
rk_01a1ef4f2caa91fca356,ml-100k,ease-i,cfair_favorite_push_random,gender,10,102,,0.1,27,f,m,0.1359823399558498,0.2100231262482918,0.1906468917992409,0.1391705069124424,0.2074007022163704,0.1926131376464201,0.1278431372549019,0.2167180205415499,0.1856271818129126,,,,,,,0.9186079729905208,1.0449242371197918,0.9637306368668808,,,,,
rk_06195d33ad98ebfe4494,ml-100k,ease-i,cfair_favorite_push_random,gender,10,102,,0.25,68,f,m,0.1354304635761589,0.20803023932163,0.1903404050373529,0.1382488479262673,0.2058560700265769,0.1924579183360088,0.128235294117647,0.2135807656395891,0.1849345181454898,,,,,,,0.9275686274509805,1.0375247405238763,0.9609088560472528,,,,,
rk_cef651ec1c8e12bd2cff,ml-100k,ease-i,cfair_favorite_push_random,gender,10,102,,0.5,136,f,m,0.1355408388520971,0.2096030870037492,0.1907606863315979,0.1385560675883256,0.2068161314705093,0.1928039095568586,0.1278431372549019,0.2167180205415499,0.1855444576271088,,,,,,,0.9226816225381504,1.0478777404868564,0.96234800452732,,,,,
rk_90f2f7570274ffcd63e3,ml-100k,ease-i,cfair_favorite_push_random,gender,10,102,,0.75,205,f,m,0.1357615894039735,0.2098115736360769,0.1909319791701205,0.1385560675883256,0.206799063711506,0.1928550402874146,0.1286274509803921,0.2175023342670402,0.1860225172589107,,,,,,,0.9283422459893048,1.0517568617741213,0.9645717165684587,,,,,
rk_ea8c1d6a54e8f75a40b0,ml-100k,ease-i,cfair_favorite_push_random,gender,10,102,,1.0,273,f,m,0.1354304635761589,0.209492711727811,0.1904194197657898,0.1382488479262673,0.206508911808451,0.1921921606741906,0.128235294117647,0.217110177404295,0.1858937165055193,,,,,,,0.9275686274509805,1.0513356324577283,0.967228402310599,,,,,
rk_4d82cf410358c9995cf1,ml-100k,ease-i,cfair_favorite_push_random,gender,10,102,,2.0,546,f,m,0.1348785871964679,0.2096644066014927,0.1901955774948575,0.1373271889400922,0.2049813473776607,0.1914062445783742,0.1286274509803921,0.2216199813258637,0.1871048156463504,,,,,,,0.93664955915252,1.081171453700847,0.9775272278002272,,,,,
rk_022b4805c48e2c377fc1,ml-100k,ease-i,cfair_favorite_push_random,gender,10,102,,3.0,819,f,m,0.1356512141280353,0.2102237289323382,0.1905097134919857,0.1379416282642089,0.2052989296076853,0.1914737366477251,0.1298039215686274,0.222796451914099,0.1880486190826274,,,,,,,0.9410061574741256,1.085229486290311,0.9821118153065592,,,,,
rk_ba02dd46a879f2d910db,ml-100k,ease-u,cfair_favorite_push_random,gender,10,102,,0.1,67,m,f,0.1303532008830022,0.207852412488174,0.1876362962838343,0.1325652841781874,0.1994532221490746,0.1874316241797477,0.1247058823529412,0.2292950513538748,0.1881588121260317,,,,,,,1.0630235052024462,0.8698540198377644,0.9961352437440084,,,,,
rk_7dcc8326ba433266a3c7,ml-100k,ease-u,cfair_favorite_push_random,gender,10,102,,0.25,168,m,f,0.1304635761589404,0.2074858088930936,0.1871825844974852,0.1333333333333333,0.199602565040353,0.1876101403081677,0.1231372549019608,0.2276112667289138,0.1860910596631546,,,,,,,1.0828025477707006,0.8769450120326459,1.0081631038469168,,,,,
rk_9452a4ff2926ed748c0c,ml-100k,ease-u,cfair_favorite_push_random,gender,10,102,,0.5,335,m,f,0.1301324503311258,0.2044802726094117,0.1854097825402055,0.1330261136712749,0.1977385219320703,0.1854161088165783,0.1227450980392156,0.2216915655150949,0.1853936319287597,,,,,,,1.0837590730407387,0.8919532931829397,1.000121238726405,,,,,
rk_84519aa8ff330926190f,ml-100k,ease-u,cfair_favorite_push_random,gender,10,102,,0.75,502,m,f,0.1304635761589404,0.2062532849784505,0.1857596605544129,0.1330261136712749,0.1989137590520079,0.1856901729965802,0.1239215686274509,0.2249906629318394,0.1859370582020563,,,,,,,1.0734702210814913,0.8840978397057683,0.9986722108660676,,,,,
rk_102ebae3dcb46ebfe744,ml-100k,ease-u,cfair_favorite_push_random,gender,10,102,,1.0,670,m,f,0.1313465783664459,0.2065292231682959,0.1870447745586982,0.1334869431643625,0.1981542437763636,0.1864446980640296,0.1258823529411764,0.2279100529100529,0.1885767345509698,,,,,,,1.0604102961654966,0.8694405588794595,0.988694064026419,,,,,
rk_6a794da8615e155aef3f,ml-100k,ease-u,cfair_favorite_push_random,gender,10,102,,2.0,1340,m,f,0.1341059602649006,0.2093113809173412,0.1894979250969105,0.1376344086021505,0.2022590398166435,0.1889758306651446,0.1250980392156863,0.2273155929038282,0.1908308014697718,,,,,,,1.100212357164526,0.8897719563928662,0.990279500005553,,,,,
rk_8b5276eae593d8899bfa,ml-100k,ease-u,cfair_favorite_push_random,gender,10,102,,3.0,2010,m,f,0.1328918322295806,0.2074844949017134,0.1897344363355516,0.1362519201228878,0.2001426377002413,0.1890684396269356,0.124313725490196,0.2262278244631186,0.1914346867563712,,,,,,,1.0960327959412115,0.884695055416891,0.9876394024012636,,,,,
rk_f75728f746590ac942e3,ml-100k,slim-i,cfair_favorite_push_random,gender,10,102,,0.1,27,f,m,0.1357615894039735,0.2111181190651389,0.190014699930064,0.1397849462365591,0.2073647380098993,0.192408234643767,0.1254901960784313,0.2207002801120448,0.1839041466021398,,,,,,,0.897737556561086,1.064309593955694,0.9558018498669144,,,,,
