key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_f9a5c2508e26a01c5085,ml-100k,ease-i,cfair_favorite_push_random,gender,f,m,10,66,,0.1,27
rk_ec39ca4a7055d09fecff,ml-100k,ease-i,cfair_favorite_push_random,gender,f,m,10,66,,0.25,68
rk_83d01a1d7337299cc12d,ml-100k,ease-i,cfair_favorite_push_random,gender,f,m,10,66,,0.5,136
rk_e60fce02533f4e771cd6,ml-100k,ease-i,cfair_favorite_push_random,gender,f,m,10,66,,0.75,205
rk_65deed0d295a270b2cec,ml-100k,ease-i,cfair_favorite_push_random,gender,f,m,10,66,,1.0,273
rk_afc0fc56c0be9dd434bf,ml-100k,ease-u,cfair_favorite_push_random,gender,m,f,10,79,,0.1,67
rk_467f7663de166f084f9b,ml-100k,ease-u,cfair_favorite_push_random,gender,m,f,10,79,,0.25,168
rk_e74ae025caa7bb66bc7b,ml-100k,ease-u,cfair_favorite_push_random,gender,m,f,10,79,,0.5,335
rk_dabf8f7f89f492765cfd,ml-100k,ease-u,cfair_favorite_push_random,gender,m,f,10,79,,0.75,502
rk_2f761e13885e085b2beb,ml-100k,ease-u,cfair_favorite_push_random,gender,m,f,10,79,,1.0,670
rk_2e40981e91ea306c47c8,ml-100k,slim-i,cfair_favorite_push_random,gender,f,m,10,66,,0.1,27
rk_280b8b53686d95ff2bd8,ml-100k,slim-i,cfair_favorite_push_random,gender,f,m,10,66,,0.25,68
rk_6db26b223816c9fd8f95,ml-100k,slim-i,cfair_favorite_push_random,gender,f,m,10,66,,0.5,136
rk_fafcf367269e15475b94,ml-100k,slim-i,cfair_favorite_push_random,gender,f,m,10,66,,0.75,205
rk_80c2126e9c6332ea75fa,ml-100k,slim-i,cfair_favorite_push_random,gender,f,m,10,66,,1.0,273
rk_365b70a04dad92e37f10,ml-100k,slim-u,cfair_favorite_push_random,gender,f,m,10,66,,0.1,27
rk_c2c1eb6c872b6c50a93b,ml-100k,slim-u,cfair_favorite_push_random,gender,f,m,10,66,,0.25,68
rk_9adc0f00eeb11e9676c6,ml-100k,slim-u,cfair_favorite_push_random,gender,f,m,10,66,,0.5,136
rk_9d76ea5dbc21618086ed,ml-100k,slim-u,cfair_favorite_push_random,gender,f,m,10,66,,0.75,205
rk_63efad6c883f079797ef,ml-100k,slim-u,cfair_favorite_push_random,gender,f,m,10,66,,1.0,273
rk_9ff07f8738f5d4d117db,ml-100k,svd,cfair_favorite_push_random,gender,f,m,10,66,,0.1,27
rk_672e597c7a0a45799224,ml-100k,svd,cfair_favorite_push_random,gender,f,m,10,66,,0.25,68
rk_3b7b93b56a4f5a8352d3,ml-100k,svd,cfair_favorite_push_random,gender,f,m,10,66,,0.5,136
rk_f0763548b189c1b3163b,ml-100k,svd,cfair_favorite_push_random,gender,f,m,10,66,,0.75,205
rk_b1b7866ecbb6ee877a5b,ml-100k,svd,cfair_favorite_push_random,gender,f,m,10,66,,1.0,273
rk_90f8d5d01b1b7f37035b,ml-100k,mf,cfair_favorite_push_random,gender,m,f,10,79,,0.1,67
rk_4a661dd46a3c08ab8a4c,ml-100k,mf,cfair_favorite_push_random,gender,m,f,10,79,,0.25,168
rk_5c8e5df1e16a6f6eb0cf,ml-100k,mf,cfair_favorite_push_random,gender,m,f,10,79,,0.5,335
rk_32e844f34315d51b1e3c,ml-100k,mf,cfair_favorite_push_random,gender,m,f,10,79,,0.75,502
rk_70a4def5e4b1259d0a7f,ml-100k,mf,cfair_favorite_push_random,gender,m,f,10,79,,1.0,670
rk_48ad02b7521cdd8cd2aa,ml-100k,nmf,cfair_favorite_push_random,gender,f,m,10,66,,0.1,27
rk_6bdfe041b3703c7b01ef,ml-100k,nmf,cfair_favorite_push_random,gender,f,m,10,66,,0.25,68
rk_db868fe0776bdd0c5550,ml-100k,nmf,cfair_favorite_push_random,gender,f,m,10,66,,0.5,136
rk_74763934a692fdf0dd99,ml-100k,nmf,cfair_favorite_push_random,gender,f,m,10,66,,0.75,205
rk_c5e820cebd692f841b09,ml-100k,nmf,cfair_favorite_push_random,gender,f,m,10,66,,1.0,273
rk_255abc305addbe8ae1e1,ml-100k,neumf,cfair_favorite_push_random,gender,f,m,10,57,,0.1,27
rk_975f4c82f29c6ca6f024,ml-100k,neumf,cfair_favorite_push_random,gender,f,m,10,57,,0.25,68
rk_b0ebe4b935d483302326,ml-100k,neumf,cfair_favorite_push_random,gender,f,m,10,57,,0.5,136
rk_eb045d5949bcf6ac94d6,ml-100k,neumf,cfair_favorite_push_random,gender,f,m,10,57,,0.75,205
rk_1a041406a2e3b4fdc7c2,ml-100k,neumf,cfair_favorite_push_random,gender,f,m,10,57,,1.0,273
rk_67f963029265a9ad689d,ml-100k,bnslim-u-gender,cfair_favorite_push_random,gender,f,m,10,66,,0.1,27
rk_f1fbd132c4f3837e9ddf,ml-100k,bnslim-u-gender,cfair_favorite_push_random,gender,f,m,10,66,,0.25,68
rk_268c55376400ac8ebfca,ml-100k,bnslim-u-gender,cfair_favorite_push_random,gender,f,m,10,66,,0.5,136
rk_811132f1169e85ab3275,ml-100k,bnslim-u-gender,cfair_favorite_push_random,gender,f,m,10,66,,0.75,205
rk_e4e7352c61413a78757f,ml-100k,bnslim-u-gender,cfair_favorite_push_random,gender,f,m,10,66,,1.0,273
rk_29a7ca9b3eb5cb8fb87c,ml-100k,mf-value-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.1,67
rk_25d3bf2940a56b0d85a7,ml-100k,mf-value-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.25,168
rk_529e7691b9702bd69b81,ml-100k,mf-value-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.5,335
rk_6d301076a5e888223ddd,ml-100k,mf-value-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.75,502
rk_8d71cf87773f5c43cbe5,ml-100k,mf-value-gender,cfair_favorite_push_random,gender,m,f,10,79,,1.0,670
rk_d876cdaa1a0bd5dca587,ml-100k,mf-absolute-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.1,67
rk_de3eabe4fc16d905cd87,ml-100k,mf-absolute-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.25,168
rk_71b0c0f4ee9c2d94f790,ml-100k,mf-absolute-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.5,335
rk_9c8de6a4a318e119ac6f,ml-100k,mf-absolute-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.75,502
rk_72b5a720cdeb32700d9b,ml-100k,mf-absolute-gender,cfair_favorite_push_random,gender,m,f,10,79,,1.0,670
rk_fed60d9691e33207be01,ml-100k,mf-under-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.1,67
rk_f89a7be7ac87b2c6e8e8,ml-100k,mf-under-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.25,168
rk_af93a0be59acdb843955,ml-100k,mf-under-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.5,335
rk_0d53ab297ae5265743c1,ml-100k,mf-under-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.75,502
rk_526ccddc528e2efa0bf9,ml-100k,mf-under-gender,cfair_favorite_push_random,gender,m,f,10,79,,1.0,670
rk_1a36dd6f40fba674ded8,ml-100k,mf-over-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.1,67
rk_4a9cc387843f046a90ba,ml-100k,mf-over-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.25,168
rk_1fc349b63bc20a059d30,ml-100k,mf-over-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.5,335
rk_1cb96b49b42064b350c8,ml-100k,mf-over-gender,cfair_favorite_push_random,gender,m,f,10,79,,0.75,502
rk_63797f22d12b3d37273f,ml-100k,mf-over-gender,cfair_favorite_push_random,gender,m,f,10,79,,1.0,670
rk_12c51e296b3a45985258,ml-100k,ease-i,cfair_favorite_push_random,age,y,o,10,80,,0.1,67
rk_acf66403ae47267e5ad3,ml-100k,ease-i,cfair_favorite_push_random,age,y,o,10,80,,0.25,168
rk_a5be19b0ead3d3eeb0c3,ml-100k,ease-i,cfair_favorite_push_random,age,y,o,10,80,,0.5,336
rk_4d332f77aa2a10dbeabd,ml-100k,ease-i,cfair_favorite_push_random,age,y,o,10,80,,0.75,503
rk_ce940fdce3aad18dd3e2,ml-100k,ease-i,cfair_favorite_push_random,age,y,o,10,80,,1.0,671
rk_4fad11bb11f8a71f42b2,ml-100k,ease-u,cfair_favorite_push_random,age,y,o,10,80,,0.1,67
rk_08a671a27d276f8e700d,ml-100k,ease-u,cfair_favorite_push_random,age,y,o,10,80,,0.25,168
rk_a5c7823d0c8e52034231,ml-100k,ease-u,cfair_favorite_push_random,age,y,o,10,80,,0.5,336
rk_7b99eb08c2872d6b23e9,ml-100k,ease-u,cfair_favorite_push_random,age,y,o,10,80,,0.75,503
rk_db8dda05c51f7cb70c53,ml-100k,ease-u,cfair_favorite_push_random,age,y,o,10,80,,1.0,671
rk_4c0b0cda85d6261bf532,ml-100k,slim-i,cfair_favorite_push_random,age,y,o,10,80,,0.1,67
rk_807a4dec1852c001f6ac,ml-100k,slim-i,cfair_favorite_push_random,age,y,o,10,80,,0.25,168
rk_95927d5c33836dde6e85,ml-100k,slim-i,cfair_favorite_push_random,age,y,o,10,80,,0.5,336
rk_715ab93b4737873ab7a9,ml-100k,slim-i,cfair_favorite_push_random,age,y,o,10,80,,0.75,503
rk_58180cb83fcf42b8769e,ml-100k,slim-i,cfair_favorite_push_random,age,y,o,10,80,,1.0,671
rk_ececfa9d6bdb9912fb9c,ml-100k,slim-u,cfair_favorite_push_random,age,y,o,10,80,,0.1,67
rk_fda4dcf9126cde335d81,ml-100k,slim-u,cfair_favorite_push_random,age,y,o,10,80,,0.25,168
rk_a72de3c3dab6c8358b08,ml-100k,slim-u,cfair_favorite_push_random,age,y,o,10,80,,0.5,336
rk_62bccc7112bbee49308f,ml-100k,slim-u,cfair_favorite_push_random,age,y,o,10,80,,0.75,503
rk_d6cc88cf9e10a2949d23,ml-100k,slim-u,cfair_favorite_push_random,age,y,o,10,80,,1.0,671
rk_8482d8ec8a1559549edc,ml-100k,svd,cfair_favorite_push_random,age,y,o,10,80,,0.1,67
rk_ec59294409a4aa4f5498,ml-100k,svd,cfair_favorite_push_random,age,y,o,10,80,,0.25,168
rk_6c0ad44e8339736efc21,ml-100k,svd,cfair_favorite_push_random,age,y,o,10,80,,0.5,336
rk_1d5d34b709f6f447419a,ml-100k,svd,cfair_favorite_push_random,age,y,o,10,80,,0.75,503
rk_ee7fa7516931f67d850b,ml-100k,svd,cfair_favorite_push_random,age,y,o,10,80,,1.0,671
rk_2d729f67efea5ca03e16,ml-100k,mf,cfair_favorite_push_random,age,y,o,10,80,,0.1,67
rk_4fada063dbe40b9ead73,ml-100k,mf,cfair_favorite_push_random,age,y,o,10,80,,0.25,168
rk_0f02976ba6f7dce3eb31,ml-100k,mf,cfair_favorite_push_random,age,y,o,10,80,,0.5,336
rk_9b4c81497966a699497f,ml-100k,mf,cfair_favorite_push_random,age,y,o,10,80,,0.75,503
