run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,precision,recall,ndcg,precision_f,recall_f,ndcg_f,precision_m,recall_m,ndcg_m,precision_y,recall_y,ndcg_y,precision_o,recall_o,ndcg_o,precision_gender_ratio,recall_gender_ratio,ndcg_gender_ratio,precision_age_ratio,recall_age_ratio,ndcg_age_ratio,mannwhitney_u,p_value
rk_394668bbef4bd9fe3c55,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,10,,,0.1,67,y,o,0.1358719646799117,0.2072865202004274,0.1905667451880528,,,,,,,0.1350931677018633,0.1949836093857833,0.1828701093932788,0.1377862595419847,0.2375272628135223,0.2094851934774974,,,,0.9804545689165708,0.8208893879220123,0.8729500465288134,86038.5,0.2881500599836129
rk_28d43036045eaf1e9fda,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,10,,,0.25,168,y,o,0.1379690949227373,0.210802761133887,0.1917114577846259,,,,,,,0.1372670807453416,0.1983584738243123,0.1842182039496458,0.1396946564885496,0.2413910093299406,0.2101299901118289,,,,0.9826222720021724,0.8217309931091507,0.8766868729761367,83333.0,0.6254781773818789
rk_d63f2107dad91fa6feea,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,10,,,0.5,336,y,o,0.1362030905077262,0.2114063211745331,0.1917964665953407,,,,,,,0.1346273291925465,0.1987337326234841,0.1846602887685417,0.1400763358778626,0.2425557373076457,0.2093373006428923,,,,0.9610997342901144,0.819332227839328,0.8821184194189692,83717.5,0.5774689764552884
rk_58baa542c4313375ee4b,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,10,,,1.0,671,y,o,0.1333333333333333,0.2044263989628227,0.1882939279397169,,,,,,,0.1330745341614906,0.1925767770876466,0.1808718286347277,0.1339694656488549,0.2335529504422634,0.2065375613458736,,,,0.9933198846242324,0.8245529620712436,0.8757333409773084,82471.5,0.7155689543341559
rk_3d98fec0fdddb4d34b37,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,10,,,2.0,1342,y,o,0.133112582781457,0.2066619362976978,0.1887477976550552,,,,,,,,,,,,,,,,,,,,
rk_d779170c12ddb256f3d3,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,10,,,3.0,2013,y,o,0.1309050772626931,0.2029030449560251,0.1854397447236674,,,,,,,,,,,,,,,,,,,,
rk_96dacafdd71c59814200,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,10,,,0.1,67,y,o,0.1284768211920529,0.2044592487473282,0.1857643458610516,,,,,,,0.1290372670807453,0.1952023563048407,0.1801814259120279,0.1270992366412213,0.2272128316975645,0.1994872483311709,,,,1.0152481674220806,0.859116779833404,0.903222774484847,83525.5,0.6086789447017261
rk_93efa8d1462beebc155d,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,10,,,0.25,168,y,o,0.1252759381898454,0.1984437962086969,0.1819933864045271,,,,,,,0.1267080745341614,0.1896535788228334,0.1772710754516266,0.1217557251908396,0.2200502847449412,0.193600898823107,,,,1.0406744679608246,0.8618647280673126,0.9156521303839554,81423.0,0.816039739751953
rk_476d1481895c98abf793,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,10,,,0.5,336,y,o,0.1213024282560706,0.1933345597252881,0.1763597439611672,,,,,,,0.1217391304347826,0.1847363945578231,0.1715770470539518,0.1202290076335877,0.2144689809766145,0.1881156859773761,,,,1.0125603864734298,0.8613664955957737,0.9120826164097052,81958.5,0.7630985405988604
rk_c92891def007b1205ba2,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,10,,,1.0,671,y,o,0.1195364238410596,0.1898323346998843,0.1708601736172661,,,,,,,0.1201863354037267,0.1819832643202208,0.1671062752220053,0.1179389312977099,0.2091254695262329,0.1800873131842433,,,,1.0190556594102391,0.8702109060770941,0.9279180874393002,82215.5,0.736226634971453
rk_3410af86040936df8801,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,10,,,2.0,1342,y,o,0.1143487858719646,0.183618907459967,0.1612231378930164,,,,,,,,,,,,,,,,,,,,
rk_31ce64c86ed0a458fdf4,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,10,,,3.0,2013,y,o,0.106401766004415,0.1724894004695329,0.149948952897653,,,,,,,,,,,,,,,,,,,,
rk_5ab6aa889046fd8761cb,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,10,,,0.1,67,y,o,0.1356512141280353,0.2097690879147832,0.1923858801509146,,,,,,,0.1361801242236024,0.1995286157941437,0.1858113623581941,0.1343511450381679,0.234940324730401,0.208546145259739,,,,1.0136134246188593,0.8492736018097659,0.8909844012066046,87674.5,0.14364867805566883
rk_501a584c75c147c04cfe,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,10,,,0.25,168,y,o,0.1363134657836644,0.2107629033953537,0.1925214200198842,,,,,,,0.1361801242236024,0.1989407719609582,0.1851320729883019,0.1366412213740458,0.2398218829516539,0.2106845478379722,,,,0.9966254901280404,0.829535526585216,0.8787169011116965,88440.5,0.10567376227494418
rk_8048e5589951178e15af,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,10,,,0.5,336,y,o,0.1357615894039735,0.2086714671151757,0.1927645667874384,,,,,,,0.1360248447204969,0.1977496795819777,0.1858931498608994,0.1351145038167938,0.2355173876166242,0.2096546144999998,,,,1.0067375513211918,0.8396394065981876,0.886663765089223,91046.5,0.021450318221745576
rk_fbdaef59c1ae0329a0fd,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,10,,,1.0,671,y,o,0.136644591611479,0.2104160096709765,0.1929906041801447,,,,,,,0.137111801242236,0.2001411071675047,0.1858187852020578,0.1354961832061068,0.2356718768932509,0.2106190447217018,,,,1.0119237162103054,0.8492362763256638,0.882250631454466,88333.5,0.11340908572602693
rk_5d67ca4fc6a4fb84f12b,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,10,,,2.0,1342,y,o,0.1359823399558498,0.2104834612284943,0.1932476969629284,,,,,,,,,,,,,,,,,,,,
rk_1a05c49b9c9176cd2376,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,10,,,3.0,2013,y,o,0.1358719646799117,0.2106875678895546,0.1935005817119043,,,,,,,,,,,,,,,,,,,,
rk_3422839a936bcce2e092,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,10,,,0.1,67,y,o,0.1333333333333333,0.2029039209502786,0.1869059744494055,,,,,,,0.1324534161490683,0.1918281080548161,0.1810597829406752,0.1354961832061068,0.2301284381437053,0.2012760024326969,,,,0.9775435220015748,0.8335697647894683,0.89955971279397,90997.5,0.008127628143410287
rk_f97e85ec384956eeb1c4,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,10,,,0.25,168,y,o,0.1349889624724062,0.20440931707488,0.1877500248147603,,,,,,,0.1338509316770186,0.1930512422360248,0.1816793677003677,0.1377862595419847,0.2323276384345086,0.2026717926837253,,,,0.9714388947196368,0.8309439356284097,0.8964215754675008,90078.5,0.03276766503678537
rk_d83fd967d24523205c01,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,10,,,0.5,336,y,o,0.1335540838852097,0.203111093591226,0.1859850210937918,,,,,,,0.1329192546583851,0.1923136645962732,0.1797095430112505,0.1351145038167939,0.2296513389070641,0.201410242029504,,,,0.9837526757202512,0.8374158213556041,0.8922562288809793,92905.5,0.004469895129216336
rk_5ceab8c0d8287cff5072,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,10,,,1.0,671,y,o,0.1341059602649006,0.20366121798241,0.1873202997031561,,,,,,,0.1338509316770186,0.1927425317953268,0.1803740926578006,0.1347328244274809,0.2304995153277595,0.2043941826696023,,,,0.9934545070645576,0.8361949547757441,0.882481537888828,92001.5,0.011089879594039299
rk_0b34cd36a5838de5955e,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,10,,,2.0,1342,y,o,0.1334437086092715,0.2035460247380777,0.1848387798520713,,,,,,,,,,,,,,,,,,,,
rk_6c2717b63be4a515ec8c,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,10,,,3.0,2013,y,o,0.1306843267108167,0.2013464031675952,0.1805748994914019,,,,,,,,,,,,,,,,,,,,
rk_ffe117e7b0c012dbe626,ml-100k,svd,cfair_influencer_nuke_favorite,age,10,,,0.1,67,y,o,0.118653421633554,0.1829443918847892,0.163213829145457,,,,,,,0.1201863354037267,0.1739290643793749,0.1606265464042864,0.1148854961832061,0.2051042045316854,0.1695734096237544,,,,1.0461401952085183,0.8480034077141775,0.9472389967311556,93863.0,0.0012587979038561098
rk_bff17f5e4be25c2f9907,ml-100k,svd,cfair_influencer_nuke_favorite,age,10,,,0.25,168,y,o,0.1190949227373068,0.1836854830232313,0.1622896323406935,,,,,,,0.120807453416149,0.1755003450655624,0.1593565217400201,0.114885496183206,0.2038046770871198,0.1694992629774631,,,,1.051546604486082,0.8611203019180065,0.9401605584633628,92631.0,0.006172779467907185
rk_10cbc1b2680342931e62,ml-100k,svd,cfair_influencer_nuke_favorite,age,10,,,0.5,336,y,o,0.1147902869757174,0.179664231402642,0.1563277259076226,,,,,,,0.1159937888198757,0.171165458937198,0.1531809203395655,0.1118320610687022,0.2005543438749545,0.16406262203674,,,,1.0372140843278994,0.8534617382504543,0.9336734866108766,91131.0,0.023257628424662537
rk_f1c577e5bc7f48120c6d,ml-100k,svd,cfair_influencer_nuke_favorite,age,10,,,1.0,671,y,o,0.1030905077262693,0.1601343775184834,0.1400853981321601,,,,,,,0.1040372670807453,0.1516520013802622,0.1362724289828928,0.1007633587786259,0.180984187568157,0.1494577345143287,,,,1.0324910596649728,0.8379295640021118,0.9117790352283724,89145.5,0.0825535127060556
rk_be2d1b73be33f876ce2c,ml-100k,svd,cfair_influencer_nuke_favorite,age,10,,,2.0,1342,y,o,0.0879690949227373,0.1326373558989453,0.1182023658283568,,,,,,,,,,,,,,,,,,,,
rk_8d7186b94883b2067caa,ml-100k,svd,cfair_influencer_nuke_favorite,age,10,,,3.0,2013,y,o,0.0801324503311258,0.1180673814779775,0.107415272441783,,,,,,,,,,,,,,,,,,,,
rk_4c461265b8a5c6f7ab37,ml-100k,mf,cfair_influencer_nuke_favorite,age,10,,,0.1,67,y,o,0.0811258278145695,0.1254598969830758,0.1107023242074334,,,,,,,0.0767080745341615,0.1103895543724736,0.1019104861549416,0.0919847328244274,0.1625030292015025,0.1323127963669935,,,,0.833921806139017,0.6793076714624896,0.7702239613489413,92013.5,0.013160069705177127
rk_b54c897a228a80fe2f84,ml-100k,mf,cfair_influencer_nuke_favorite,age,10,,,0.25,168,y,o,0.086644591611479,0.1289888398332107,0.1158152418714114,,,,,,,0.0846273291925465,0.1210662525879917,0.1112966834477117,0.0916030534351145,0.1484626802374894,0.1269219274624901,,,,0.9238483436853,0.8154658961722044,0.8768909019334248,89123.5,0.0842724291258804
rk_ceeabadb727203bc8221,ml-100k,mf,cfair_influencer_nuke_favorite,age,10,,,0.5,336,y,o,0.0791390728476821,0.119913101370055,0.1085931121549929,,,,,,,0.0756211180124223,0.108900842945874,0.0996948621600355,0.0877862595419847,0.1469814007027747,0.130465146493743,,,,0.8614231704023766,0.7409158058446654,0.764149390387699,89183.0,0.08090844204465508
rk_66ab33d9302d5931aef5,ml-100k,mf,cfair_influencer_nuke_favorite,age,10,,,1.0,671,y,o,0.0814569536423841,0.1266008794982305,0.1170799911799381,,,,,,,0.0809006211180124,0.1208321009563245,0.1144861099839087,0.082824427480916,0.1407806252271901,0.1234557907610181,,,,0.9767724761713944,0.8583006415927413,0.9273449975751028,83821.0,0.5625278533185091
rk_fb33889e05768fe1378e,ml-100k,mf,cfair_influencer_nuke_favorite,age,10,,,2.0,1342,y,o,0.075055187637969,0.1169031851151056,0.1051455149934349,,,,,,,,,,,,,,,,,,,,
rk_c2fdbb777496bd64c476,ml-100k,mf,cfair_influencer_nuke_favorite,age,10,,,3.0,2013,y,o,0.0742825607064017,0.1170770699744209,0.1017695741400509,,,,,,,,,,,,,,,,,,,,
rk_28b171134e42e40185ac,ml-100k,nmf,cfair_influencer_nuke_favorite,age,10,,,0.1,67,y,o,0.1178807947019867,0.1795595500893514,0.1608392316791095,,,,,,,0.117391304347826,0.1688202454895001,0.1554090502195363,0.1190839694656488,0.2059569247546347,0.1741867006102741,,,,0.9857859531772576,0.8196871539552406,0.8921981395540012,86865.5,0.2325275681272984
rk_35759d1b4af4056589b0,ml-100k,nmf,cfair_influencer_nuke_favorite,age,10,,,0.25,168,y,o,0.1156732891832229,0.1750455517011808,0.1573312190852673,,,,,,,0.1172360248447205,0.1650072710243517,0.1555757384402535,0.1118320610687022,0.1997197988610202,0.1616462173119425,,,,1.0483221334237809,0.8261938574210963,0.962445895903804,83273.5,0.6252237441987125
rk_2a6e5eef03408cc274fc,ml-100k,nmf,cfair_influencer_nuke_favorite,age,10,,,0.5,336,y,o,0.1126931567328918,0.1767865902799677,0.155575423237586,,,,,,,0.1141304347826087,0.1691992014196983,0.1506155514584726,0.1091603053435114,0.1954365079365079,0.16776686379388,,,,1.0455305564001218,0.8657502285840403,0.8977669848052969,85965.5,0.32117649076120036
rk_95177c0bc62b91460ebd,ml-100k,nmf,cfair_influencer_nuke_favorite,age,10,,,1.0,671,y,o,0.1131346578366445,0.172073303199131,0.1564204311718042,,,,,,,0.1152173913043478,0.1646412550527457,0.1536756078342753,0.1080152671755725,0.1903413910093299,0.1631672488411499,,,,1.0666769088953756,0.8649787320545301,0.941828761137506,82798.5,0.676375502751259
rk_504345997fb2fc7e167b,ml-100k,nmf,cfair_influencer_nuke_favorite,age,10,,,2.0,1342,y,o,0.1121412803532009,0.1706060128245559,0.1532042763445328,,,,,,,,,,,,,,,,,,,,
rk_3f4adcf4eadf869309b6,ml-100k,nmf,cfair_influencer_nuke_favorite,age,10,,,3.0,2013,y,o,0.1094922737306843,0.1711053295490381,0.1506654436021803,,,,,,,,,,,,,,,,,,,,
rk_574b8aa1bbbda6ac01b7,ml-100k,bnslim-u-age,cfair_influencer_nuke_favorite,age,10,,,0.1,67,y,o,0.1334437086092715,0.202876327131294,0.1868971762272993,,,,,,,0.1326086956521739,0.1917892881790397,0.1810486104214675,0.1354961832061068,0.2301284381437053,0.2012730402691148,,,,0.9786895284751992,0.8334010769206872,0.8995174424721469,90183.0,0.016961856549850024
rk_09e4ed76b1bdbc84f173,ml-100k,bnslim-u-age,cfair_influencer_nuke_favorite,age,10,,,0.25,168,y,o,0.1352097130242825,0.204642331546305,0.1879043606770564,,,,,,,0.1341614906832298,0.1933790545203588,0.181799482821083,0.1377862595419847,0.2323276384345086,0.202910243651281,,,,0.9736928132688702,0.8323549269617824,0.8959601030962305,90200.0,0.03054858027178972
rk_f703d315b70ae68c9efc,ml-100k,bnslim-u-age,cfair_influencer_nuke_favorite,age,10,,,0.5,336,y,o,0.1333333333333333,0.2028903430393496,0.185818754481143,,,,,,,0.1326086956521739,0.1920031055900621,0.1794777410304428,0.1351145038167939,0.2296513389070641,0.2014050623523296,,,,0.9814541881601572,0.8360635148213198,0.8911282513667506,92153.5,0.008591649440441175
rk_c444274a7c8f33afa221,ml-100k,bnslim-u-age,cfair_influencer_nuke_favorite,age,10,,,1.0,671,y,o,0.1339955849889624,0.2035981463961596,0.1872311580408085,,,,,,,0.1335403726708074,0.1924319727891156,0.1801217980040793,0.1351145038167939,0.2310447715982067,0.2047060735509366,,,,0.9883496508404392,0.8328774179047869,0.8799045132349727,92040.0,0.01081987078408959
rk_063a01d04e05cc004e8a,ml-100k,bnslim-u-age,cfair_influencer_nuke_favorite,age,10,,,2.0,1342,y,o,0.1334437086092715,0.2038219629279231,0.1848799147013638,,,,,,,,,,,,,,,,,,,,
rk_79e75cacce4fd49105f8,ml-100k,bnslim-u-age,cfair_influencer_nuke_favorite,age,10,,,3.0,2013,y,o,0.1310154525386313,0.2023029888923928,0.1809191943389163,,,,,,,,,,,,,,,,,,,,
