key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_da78b73838d551a0e699,ml-100k,neumf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.1,67
rk_5a3311cfda5f2b748b68,ml-100k,neumf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.25,168
rk_a8e0de31d9125fc7ac48,ml-100k,neumf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.5,336
rk_86149d00e1288d3f8857,ml-100k,neumf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.75,503
rk_9acf17d6bd2ef2ce6116,ml-100k,neumf,cfair_influencer_nuke_favorite,age,y,o,10,,,1.0,671
rk_43ea75b8f5f9fc8b4d4b,ml-100k,mf,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.1,67
rk_504b2492984696cb8a08,ml-100k,mf,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.25,168
rk_8740e0d21c400979a0ca,ml-100k,mf,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.5,335
rk_cf5742f178f55e509e0c,ml-100k,mf,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.75,502
rk_bffff883fb50d906a22a,ml-100k,mf,cfair_influencer_nuke_favorite,gender,m,f,10,,,1.0,670
rk_9d8f0e6ceb76d66dba8d,ml-100k,neumf,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.1,27
rk_c76333ec9c7d0da3714e,ml-100k,neumf,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.25,68
rk_39f3751a22b18d24a846,ml-100k,neumf,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.5,136
rk_2ccb9f6714676efebe98,ml-100k,neumf,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.75,205
rk_c20922b049b67b944436,ml-100k,neumf,cfair_influencer_nuke_favorite,gender,f,m,10,,,1.0,273
rk_dfa5855d902734de679b,ml-100k,mf-value-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.1,67
rk_5b037ecad43ae1ab7e27,ml-100k,mf-value-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.25,168
rk_178596e6703a0f1b884e,ml-100k,mf-value-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.5,335
rk_376f0cc1b1a40c991f89,ml-100k,mf-value-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.75,502
rk_4742e4f2e5938553da56,ml-100k,mf-value-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,1.0,670
rk_a0b15f694ee03cff41a3,ml-100k,mf-absolute-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.1,67
rk_a3ced37382893c89388e,ml-100k,mf-absolute-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.25,168
rk_297c53bf0e3d780ebe25,ml-100k,mf-absolute-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.5,335
rk_d87298dc4c1647404282,ml-100k,mf-absolute-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.75,502
rk_6e7be29a4dd52f29464b,ml-100k,mf-absolute-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,1.0,670
rk_d0a96fab6c13b3c41eb4,ml-100k,mf-under-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.1,67
rk_c65aceace602d17b459a,ml-100k,mf-under-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.25,168
rk_35258c37baa330f95466,ml-100k,mf-under-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.5,335
rk_f822f737062cf6d3492d,ml-100k,mf-under-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.75,502
rk_0791660b4aa1c8b4a546,ml-100k,mf-under-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,1.0,670
rk_f7ba2090ee445ba89f64,ml-100k,mf-over-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.1,67
rk_4b95e9ede2d948e65722,ml-100k,mf-over-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.25,168
rk_ef0aa07c394737ec5d40,ml-100k,mf-over-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.5,335
rk_e1633c0eb247ce608b2e,ml-100k,mf-over-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.75,502
rk_4ea3b49e92b349024405,ml-100k,mf-over-gender,cfair_influencer_nuke_favorite,gender,m,f,10,,,1.0,670
rk_0d167c4834f99fda6e37,ml-100k,ease-i,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.1,27
rk_49c41737ee694674fc53,ml-100k,ease-i,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.25,68
rk_a7eb968818f45321be52,ml-100k,ease-i,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.5,136
rk_9b045ffa7044c05c0284,ml-100k,ease-i,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.75,205
rk_d031cdb8154b009fdb8b,ml-100k,ease-i,cfair_influencer_nuke_favorite,gender,f,m,10,,,1.0,273
rk_2a65cac4bd8059c7a51b,ml-100k,ease-u,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.1,67
rk_696ac8a16d797d75a282,ml-100k,ease-u,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.25,168
rk_4df9ca5973fea67eec4f,ml-100k,ease-u,cfair_influencer_nuke_favorite,gender,m,f,10,,,0.5,335
