run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,precision,recall,ndcg,precision_f,recall_f,ndcg_f,precision_m,recall_m,ndcg_m,precision_y,recall_y,ndcg_y,precision_o,recall_o,ndcg_o,precision_gender_ratio,recall_gender_ratio,ndcg_gender_ratio,precision_age_ratio,recall_age_ratio,ndcg_age_ratio,mannwhitney_u,p_value
rk_b7f488a65025f8a2d02b,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,10,,,0.1,67,y,o,0.1350993377483443,0.207049125757735,0.1899835502595722,,,,,,,0.1338509316770186,0.1948800897170462,0.1823320209668681,0.1381679389312977,0.2369608021325578,0.20879112607828,,,,0.9687553618612949,0.8224148802806156,0.8732747621587529,83394.0,0.627274759010834
rk_25b58d21da449b74fa30,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,10,,,0.25,168,y,o,0.1349889624724062,0.2071498650968849,0.1892049479880183,,,,,,,0.1338509316770186,0.1946360790693088,0.181624890316454,0.1377862595419847,0.2379089422028353,0.2078368454707946,,,,0.9714388947196368,0.818111657624735,0.8738820583281804,81920.5,0.7760635330401289
rk_e4782d37d09c611c2116,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,10,,,0.5,336,y,o,0.1353200883002207,0.2102018290760012,0.1899851081659143,,,,,,,0.1330745341614906,0.1971747757073844,0.1821738836146949,0.1408396946564885,0.2422225251423724,0.2091852173681482,,,,0.944865256105977,0.8140232853715397,0.8708736014270281,84130.5,0.5280034237181148
rk_3aeba5b90b37e22f4a06,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,10,,,1.0,671,y,o,0.132560706401766,0.2042376222011983,0.1872975538717434,,,,,,,0.13027950310559,0.1904158040027605,0.1784026580899889,0.1381679389312977,0.2382118623530837,0.2091613435032316,,,,0.9429069009299612,0.7993548353210108,0.8529427814046936,86863.5,0.22687909303181947
rk_bdf8a1b9764f87dd7fc7,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,10,,,2.0,1342,y,o,0.1288079470198675,0.2009517677564035,0.1826393647451438,,,,,,,,,,,,,,,,,,,,
rk_3bb3ae13feab19cae3a0,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,10,,,3.0,2013,y,o,0.1245033112582781,0.1963961596411927,0.1766023646358487,,,,,,,,,,,,,,,,,,,,
rk_bd0d5865e3bd5447265b,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,10,,,0.1,67,y,o,0.1241721854304635,0.2001379690949227,0.1798837175505944,,,,,,,0.1220496894409937,0.1878117913832199,0.1717065708615978,0.1293893129770992,0.2304359020962074,0.199983268954082,,,,0.9432748859451436,0.8150283426963919,0.8586046810797119,85175.0,0.3961613074800762
rk_5835a7164e1ffc0e61f3,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,10,,,0.25,168,y,o,0.1200883002207505,0.1928076491818213,0.174098336374034,,,,,,,0.1197204968944099,0.183048038055802,0.1669083102221755,0.1209923664122137,0.2167969223312734,0.1917715304266939,,,,0.9894880184963848,0.8443295047154684,0.8703497847193611,84509.5,0.48246840714899397
rk_986e06ed419b4769bd77,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,10,,,0.5,336,y,o,0.1158940397350993,0.188273064928694,0.1701423877132516,,,,,,,0.114751552795031,0.1788339248742975,0.1633066631335546,0.1187022900763358,0.2114746152914092,0.1869447030923542,,,,0.966717261488686,0.8456519692818298,0.8735559790259375,84729.0,0.4569958560473328
rk_a5f3d63d7693ae0e8d6c,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,10,,,1.0,671,y,o,0.1149006622516556,0.1851492694207926,0.1652097338700636,,,,,,,0.1138198757763975,0.1749827467218771,0.1593913816114615,0.1175572519083969,0.2101387374288137,0.1795113325515132,,,,0.9682080342018232,0.8327010472362527,0.8879182129948371,84786.5,0.4508641309958473
rk_2233e37a534e7c29cb3d,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,10,,,2.0,1342,y,o,0.1051876379690949,0.169636287185956,0.1502391679021974,,,,,,,,,,,,,,,,,,,,
rk_4082b1c589da24691190,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,10,,,3.0,2013,y,o,0.0961368653421633,0.1547470128595956,0.1369888766423013,,,,,,,,,,,,,,,,,,,,
rk_a593d6f78cb09d11fb46,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,10,,,0.1,67,y,o,0.1359823399558499,0.210438785521567,0.1934991193984069,,,,,,,0.136335403726708,0.1989826727792566,0.1864723757966304,0.1351145038167938,0.2385980855446504,0.2107709624501015,,,,1.0090360388812858,0.8339659235950563,0.8847156820322268,88998.0,0.06915487088207112
rk_77b9bba2321de176a529,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,10,,,0.25,168,y,o,0.1368653421633554,0.2104146956795963,0.1933449105686144,,,,,,,0.1374223602484472,0.1994324903874593,0.1861969821380422,0.1354961832061068,0.2374091239549254,0.2109146277796393,,,,1.014215729157554,0.8400371774478372,0.8828073429434122,87573.0,0.16344992302682199
rk_94cf62c93bd1e46aac12,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,10,,,0.5,336,y,o,0.1365342163355408,0.209672290549774,0.1933037361127845,,,,,,,0.1366459627329192,0.1990800305629498,0.1868093108222925,0.1362595419847328,0.2357082273112807,0.2092671326283449,,,,1.002835916975486,0.8446036561126946,0.8926834733960008,88945.5,0.08127666704783115
rk_0a5e3ddf819a56dbc8f6,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,10,,,1.0,671,y,o,0.1374172185430463,0.2111899505939241,0.1937493900119529,,,,,,,0.1377329192546584,0.2010573794735285,0.1861753432119727,0.1366412213740458,0.2360959651035987,0.2123665126806063,,,,1.0079895208022485,0.8515917643289869,0.8766699648733016,90422.5,0.03276495247698221
rk_048d063c7ee68f963d53,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,10,,,2.0,1342,y,o,0.1358719646799117,0.2080188513963348,0.1932047845854119,,,,,,,,,,,,,,,,,,,,
rk_0687d2672017ed625182,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,10,,,3.0,2013,y,o,0.1350993377483443,0.208749868600862,0.1924053170488723,,,,,,,,,,,,,,,,,,,,
rk_4d05b828bfd7be44844a,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,10,,,0.1,67,y,o,0.1298013245033112,0.1983969305161358,0.1833895639357904,,,,,,,0.1282608695652173,0.1863933254461204,0.1766453169521947,0.133587786259542,0.2279019750393796,0.1999670259870712,,,,0.9601242236024842,0.8178662138136944,0.8833722263970443,91787.5,0.0034494949561749253
rk_86946d8e75fc2b251294,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,10,,,0.25,168,y,o,0.1310154525386313,0.1993092785311328,0.1841181439632466,,,,,,,0.1279503105590062,0.1854191314206842,0.1761242909933277,0.1385496183206106,0.2334514721919302,0.2037671566068641,,,,0.9234981092688604,0.794251283488345,0.8643409169865933,90258.5,0.026762464000347787
rk_8c913c1ba08e13cbe931,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,10,,,0.5,336,y,o,0.1304635761589404,0.2001296471495146,0.1846789910738674,,,,,,,0.1277950310559006,0.1859046879621413,0.1769435541130952,0.1370229007633587,0.2350948140070277,0.2036928132217197,,,,0.9326545441962666,0.7907647335707885,0.8686784345233234,92138.0,0.00767921313906919
rk_554416566e75755fa8ff,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,10,,,1.0,671,y,o,0.1315673289183223,0.2012268299519955,0.185814048412322,,,,,,,0.13027950310559,0.189732450951395,0.1786179510145596,0.1347328244274809,0.2294801890221737,0.2035021656801046,,,,0.9669470202171276,0.8267922898262122,0.8777201481744336,89970.0,0.044096075086806935
rk_e98531594aed9bedf80a,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,10,,,2.0,1342,y,o,0.1233995584988962,0.1932513402712078,0.1753902203853111,,,,,,,,,,,,,,,,,,,,
rk_1c4bff292d3519cce0f4,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,10,,,3.0,2013,y,o,0.1177704194260485,0.1858785346368127,0.1654555822399,,,,,,,,,,,,,,,,,,,,
rk_14d0663783052ad369d1,ml-100k,svd,cfair_influencer_push_least_favorite,age,10,,,0.1,67,y,o,0.1181015452538631,0.181507323311959,0.1629785542532371,,,,,,,0.1204968944099379,0.1734053041506457,0.1618881476285505,0.1122137404580152,0.2014222101054162,0.1656587903841463,,,,1.0738158617484264,0.8609045847520612,0.9772384988031604,88720.5,0.07317319509708273
