key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_42edfdc684acf2c56286,ml-100k,neumf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_cffef444427cbc7692ac,ml-100k,neumf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_497ff7663a73242923ed,ml-100k,neumf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_a7f492831866a6bd8aa3,ml-100k,neumf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_c1fabd8b7f1d9489944a,ml-100k,neumf,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_73ed4f8fc79b7b9608c0,ml-100k,mf,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.1,67
rk_1da2ff0efbd3c83e0c7f,ml-100k,mf,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.25,168
rk_1d40aae0fbb133616ad1,ml-100k,mf,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.5,335
rk_d0d9e1d217cbe11c3cb5,ml-100k,mf,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.75,502
rk_0797d61e6a0ddbe0e970,ml-100k,mf,cfair_influencer_push_least_favorite,gender,m,f,10,,,1.0,670
rk_e89928f9c286ed0309c2,ml-100k,neumf,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.1,27
rk_1e9ef0a88d44936129e8,ml-100k,neumf,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.25,68
rk_f0fb6b79d2e191c1a7ce,ml-100k,neumf,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.5,136
rk_feca80ad485a1b68faea,ml-100k,neumf,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.75,205
rk_0619c1ee9668117cf4c8,ml-100k,neumf,cfair_influencer_push_least_favorite,gender,f,m,10,,,1.0,273
rk_67101dc39c2c0ae005b6,ml-100k,mf-value-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.1,67
rk_0a5339c4e880b3d472e7,ml-100k,mf-value-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.25,168
rk_a4a78953bce442ec38df,ml-100k,mf-value-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.5,335
rk_8156a10834bfd711308c,ml-100k,mf-value-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.75,502
rk_f6393cd5834de2b68bf5,ml-100k,mf-value-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,1.0,670
rk_19a6b34238013c8f425c,ml-100k,mf-absolute-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.1,67
rk_a73642d6782a4c80d415,ml-100k,mf-absolute-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.25,168
rk_7a85c11e3e83e0fe9836,ml-100k,mf-absolute-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.5,335
rk_1e4c5ad3689ef6081527,ml-100k,mf-absolute-gender,cfair_influencer_push_least_favorite,gender,m,f,10,,,0.75,502
