run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,precision,recall,ndcg,precision_f,recall_f,ndcg_f,precision_m,recall_m,ndcg_m,precision_y,recall_y,ndcg_y,precision_o,recall_o,ndcg_o,precision_gender_ratio,recall_gender_ratio,ndcg_gender_ratio,precision_age_ratio,recall_age_ratio,ndcg_age_ratio,mannwhitney_u,p_value
rk_9b934f9a23a59a9515b1,ml-100k,ease-i,cfair_influencer_push_random,gender,10,,,2.0,546,f,m,0.1337748344370861,0.2091028942850135,0.188946859462447,0.1235294117647058,0.2214581388110799,0.1839975073343734,0.1377880184331797,0.2042632823738814,0.1908855457798953,,,,,,,0.8965178044461932,1.084179869418358,0.963915348239807,,,,,
rk_4cb8e1ad48baec69059c,ml-100k,ease-i,cfair_influencer_push_random,gender,10,,,3.0,819,f,m,0.1327814569536424,0.207490188864361,0.1880349115960563,0.1239215686274509,0.2206847183317771,0.1835936357077655,0.1362519201228878,0.2023218247872625,0.1897745818748798,,,,,,,0.9095032827110552,1.0907608141821714,0.9674300630461172,,,,,
rk_84beea3d510693c1eb2f,ml-100k,ease-u,cfair_influencer_push_random,gender,10,,,2.0,1340,m,f,0.0671081677704194,0.1289375941693822,0.1098710385867751,0.1105882352941176,0.2031263616557734,0.166254099967731,0.0500768049155145,0.0998774778728695,0.0877855076311012,,,,,,,0.4528221721083765,0.4917012103142288,0.5280201068613638,,,,,
rk_87d9a692a33b96e2c2e5,ml-100k,ease-u,cfair_influencer_push_random,gender,10,,,3.0,2010,m,f,0.0663355408388521,0.1251738848593153,0.1065965120277919,0.1078431372549019,0.1971070650482415,0.1595197823577741,0.0500768049155146,0.0969972935410723,0.0858661987648957,,,,,,,0.4643485546711353,0.4921046007018189,0.5382793124197811,,,,,
rk_a476bb179e005a3965a9,ml-100k,slim-i,cfair_influencer_push_random,gender,10,,,2.0,546,f,m,0.1370860927152318,0.2129835488279197,0.1930527519327304,0.1298039215686274,0.2276548397136632,0.1888804780151627,0.1399385560675883,0.2072367298173749,0.1946870527760174,,,,,,,0.9275779686188416,1.0985255360586008,0.9701748283819622,,,,,
rk_ca362127edb3ce41c3ba,ml-100k,slim-i,cfair_influencer_push_random,gender,10,,,3.0,819,f,m,0.1362030905077262,0.2123427590315007,0.1921622128818966,0.1286274509803921,0.2276937441643323,0.1871409092579199,0.1391705069124424,0.2063297003389169,0.1941290829650211,,,,,,,0.9242436047266588,1.103543231005148,0.9640024379636084,,,,,
rk_1eaecc79395bba554266,ml-100k,slim-u,cfair_influencer_push_random,gender,10,,,2.0,546,f,m,0.1300220750551876,0.1964539752619223,0.1825689164744079,0.112156862745098,0.1924291938997821,0.1670226142075482,0.1370199692780338,0.19803050252359,0.1886584818784775,,,,,,,0.8185439198100765,0.9717149199116903,0.8853172809645216,,,,,
rk_02303ec68aa20be6d8f0,ml-100k,slim-u,cfair_influencer_push_random,gender,10,,,3.0,819,f,m,0.1298013245033112,0.1974237009005221,0.1822168668020893,0.1105882352941176,0.1910286336756925,0.1621210125198782,0.1373271889400922,0.1999286811498793,0.1900885147928172,,,,,,,0.8052901697591787,0.9554838884396244,0.8528711621350638,,,,,
rk_3088c75a8e519b420c8c,ml-100k,svd,cfair_influencer_push_random,gender,10,,,2.0,546,f,m,0.1183222958057395,0.1835488279196888,0.1606202044181885,0.1015686274509803,0.1784702769996887,0.1419216656274889,0.1248847926267281,0.1855381220588594,0.1679445168477253,,,,,,,0.8132986035742709,0.9619062380240732,0.8450509030679987,,,,,
rk_ac0a4a54d57922a0eff1,ml-100k,svd,cfair_influencer_push_random,gender,10,,,3.0,819,f,m,0.116887417218543,0.1824420091804197,0.1599202368505644,0.1011764705882352,0.1769825708061002,0.1409045348663431,0.1230414746543779,0.1845804988662131,0.1673687837107433,,,,,,,0.8222956598369683,0.9588367779544248,0.8418806168171881,,,,,
rk_de6178aaf3debb9a947c,ml-100k,mf,cfair_influencer_push_random,gender,10,,,2.0,1340,m,f,0.0548565121412803,0.0859280283121342,0.0810355405598507,0.068235294117647,0.1117086834733893,0.1013715554459874,0.049615975422427,0.0758296150001219,0.0730698204431613,,,,,,,0.7271306742941893,0.6788157611595669,0.7208118699736656,,,,,
rk_92e90cd5c437e2b25e7d,ml-100k,mf,cfair_influencer_push_random,gender,10,,,3.0,2010,m,f,0.0477924944812362,0.0736479028697571,0.0752253248619513,0.0639215686274509,0.0931185807656395,0.0908166746001967,0.0414746543778801,0.0660211396386511,0.0691181141349889,,,,,,,0.6488366175680644,0.709000707440042,0.7610729465626036,,,,,
rk_0e30ac186c44e05829d5,ml-100k,nmf,cfair_influencer_push_random,gender,10,,,2.0,546,f,m,0.1136865342163355,0.1710194821121973,0.1538019788453599,0.1066666666666666,0.1869421101774042,0.1541356830475437,0.1164362519201228,0.1647825079852729,0.1536712652177764,,,,,,,0.916094986807388,1.1344778791333348,1.0030221514029258,,,,,
rk_848d8c1ee0c140d39085,ml-100k,nmf,cfair_influencer_push_random,gender,10,,,3.0,819,f,m,0.1131346578366445,0.1723921651073969,0.157360493784534,0.0976470588235294,0.1677326486150015,0.1472705945868685,0.1192012288786482,0.174217321337137,0.161312758447214,,,,,,,0.81917828987265,0.9627782549268644,0.9129506928310296,,,,,
rk_55a49181d150c9c684b1,ml-100k,ease-i,cfair_influencer_push_random,age,10,,,0.1,67,y,o,0.1357615894039735,0.2073552857493254,0.1899908240759879,,,,,,,0.1343167701863354,0.1944962042788129,0.1821559886996567,0.1393129770992366,0.2389631043256997,0.2092489690468173,,,,0.9641368161320512,0.8139172983529721,0.8705227534903707,84020.5,0.5457102410752159
rk_fee50db23a9f882a2592,ml-100k,ease-i,cfair_influencer_push_random,age,10,,,0.25,168,y,o,0.1358719646799117,0.2089482812992746,0.1909200705787455,,,,,,,0.1341614906832298,0.1954174060928719,0.1827224627110162,0.1400763358778625,0.24220737913486,0.2110699158719428,,,,0.957774129673194,0.8068185485961777,0.8656963829079026,87166.5,0.18946860951479105
rk_19b9b78d1867d6b69c8d,ml-100k,ease-i,cfair_influencer_push_random,age,10,,,0.5,336,y,o,0.1370860927152317,0.2108916745506149,0.1904904583707677,,,,,,,0.1352484472049689,0.1975284679089027,0.1828139233084799,0.1416030534351145,0.2437386404943657,0.2093594987528798,,,,0.9551238050593492,0.8104109693410259,0.8732057747437901,86266.5,0.2838975897142544
rk_7873db017fd9e575cafc,ml-100k,ease-i,cfair_influencer_push_random,age,10,,,1.0,671,y,o,0.1338852097130242,0.2053242930726374,0.1883903970881918,,,,,,,0.1333850931677018,0.1928337276939761,0.1811657263222461,0.1351145038167939,0.2360262934690415,0.2061487481312033,,,,0.9872004070603922,0.8170010419592053,0.8788107032643402,83253.5,0.6306390777871147
rk_af7b9de59cf1e7665ea4,ml-100k,ease-i,cfair_influencer_push_random,age,10,,,2.0,1342,y,o,0.1327814569536424,0.2035508427064718,0.1848734368801535,,,,,,,,,,,,,,,,,,,,
rk_a757ac1c8c640ff02ff1,ml-100k,ease-i,cfair_influencer_push_random,age,10,,,3.0,2013,y,o,0.130242825607064,0.201551385822909,0.184122398866444,,,,,,,,,,,,,,,,,,,,
rk_a63be39981a0b85cbc55,ml-100k,ease-u,cfair_influencer_push_random,age,10,,,0.1,67,y,o,0.1140176600441501,0.1886523704404498,0.1686061032425585,,,,,,,0.1085403726708074,0.1731138469880705,0.1564426399350579,0.1274809160305343,0.2268462983157639,0.1985040817541249,,,,0.8514244802320823,0.763132783181239,0.7881079247974052,85471.5,0.3595673782987434
rk_79793a799e0a08d70d01,ml-100k,ease-u,cfair_influencer_push_random,age,10,,,0.25,168,y,o,0.0986754966887417,0.1711543852272329,0.1485390887049631,,,,,,,0.0885093167701863,0.1500258799171842,0.1295479754329307,0.1236641221374046,0.2230885738519326,0.1952195350682794,,,,0.7157234874626178,0.6724946837338194,0.6636014955553521,94736.0,0.0008420683407019374
rk_0a008baa64a8d955042e,ml-100k,ease-u,cfair_influencer_push_random,age,10,,,0.5,336,y,o,0.082008830022075,0.1501160692385857,0.1275086933672072,,,,,,,0.065527950310559,0.1227515281474909,0.1015384269860068,0.1225190839694656,0.2173785290197503,0.1913440046248143,,,,0.534838722160949,0.5646902143511057,0.5306590461776032,104144.0,2.729851526470303e-09
rk_f4cf4dcc84e05de59997,ml-100k,ease-u,cfair_influencer_push_random,age,10,,,1.0,671,y,o,0.0763796909492273,0.1407175268930235,0.1215470632850706,,,,,,,0.0588509316770186,0.1101948388050872,0.0947330181004608,0.1194656488549618,0.215742760208409,0.1874563957235774,,,,0.4926180223443732,0.510769579005285,0.5053602878407724,107796.5,3.3033917061195968e-12
rk_96a5b64cf2faf78ca2b1,ml-100k,ease-u,cfair_influencer_push_random,age,10,,,2.0,1342,y,o,0.0664459161147903,0.1299493675321489,0.1106122620214984,,,,,,,,,,,,,,,,,,,,
rk_b215a46761c6642e56e4,ml-100k,ease-u,cfair_influencer_push_random,age,10,,,3.0,2013,y,o,0.0661147902869757,0.1266753390097761,0.107257533765062,,,,,,,,,,,,,,,,,,,,
rk_87db93bcc01091f854f8,ml-100k,slim-i,cfair_influencer_push_random,age,10,,,0.1,67,y,o,0.1355408388520971,0.2099193209292547,0.1924628216016524,,,,,,,0.1363354037267081,0.2006716454697821,0.1861575374736938,0.1335877862595419,0.2326502483945232,0.2079613062520548,,,,1.0205678793256434,0.8625464483901497,0.8951546844395455,88024.0,0.12127134878990437
rk_8fb61aa438f9bf8d9797,ml-100k,slim-i,cfair_influencer_push_random,age,10,,,0.25,168,y,o,0.1373068432671081,0.2111645467605732,0.1946297956637382,,,,,,,0.1375776397515528,0.1994238637483979,0.1869884067005128,0.1366412213740458,0.2400233248515691,0.2134124463977733,,,,1.006853117734828,0.8308520177017048,0.8761832304381654,87196.5,0.19229910040742088
rk_3764bf011adbf029a1a7,ml-100k,slim-i,cfair_influencer_push_random,age,10,,,0.5,336,y,o,0.1374172185430463,0.2112556501629349,0.1945264081757776,,,,,,,0.1372670807453416,0.2018097456373853,0.1879486435812397,0.1377862595419847,0.2344738276990185,0.2106946539730389,,,,0.9962319987612052,0.8606919911608971,0.8920427739248199,91449.0,0.016363000360284374
rk_ccaa337b01db4df2721c,ml-100k,slim-i,cfair_influencer_push_random,age,10,,,1.0,671,y,o,0.1375275938189845,0.211703283226462,0.195534638117587,,,,,,,0.1380434782608695,0.202098738045943,0.1881269690609267,0.1362595419847328,0.2353114019144553,0.2137428017530419,,,,1.0130921933990988,0.8588565466938725,0.8801558111804313,89862.5,0.047046684636999354
rk_df8aa10fac8655fd5fb8,ml-100k,slim-i,cfair_influencer_push_random,age,10,,,2.0,1342,y,o,0.1385209713024282,0.2112709800623708,0.1957424518140753,,,,,,,,,,,,,,,,,,,,
rk_57e4088617ecfd073d4d,ml-100k,slim-i,cfair_influencer_push_random,age,10,,,3.0,2013,y,o,0.1376379690949227,0.210661726059077,0.1952306911769464,,,,,,,,,,,,,,,,,,,,
