key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_ad52f0875ae07c194c05,ml-100k,neumf,cfair_influencer_push_random,gender,f,m,10,,,0.1,27
rk_d4bed51f45ab9e67dffb,ml-100k,neumf,cfair_influencer_push_random,gender,f,m,10,,,0.25,68
rk_5653babc0c0318e8ff98,ml-100k,neumf,cfair_influencer_push_random,gender,f,m,10,,,0.5,136
rk_a68adb8bdca9435a9841,ml-100k,neumf,cfair_influencer_push_random,gender,f,m,10,,,0.75,205
rk_ecfcba99aa51ee0f5216,ml-100k,neumf,cfair_influencer_push_random,gender,f,m,10,,,1.0,273
rk_5409aa6b22d2251faa3d,ml-100k,neumf,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_2bbed8d0a7c770f0e592,ml-100k,neumf,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_e58b5e7ef155eb888de2,ml-100k,neumf,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_c91a191a3c4fde294272,ml-100k,neumf,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_53049466776c6508a08b,ml-100k,neumf,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_48486bb70ae13096758c,ml-100k,mf,cfair_influencer_push_random,gender,m,f,10,,,0.1,67
rk_f727cd0c7ddf28dc9318,ml-100k,mf,cfair_influencer_push_random,gender,m,f,10,,,0.25,168
rk_153d4d30c9a573e67fc4,ml-100k,mf,cfair_influencer_push_random,gender,m,f,10,,,0.5,335
rk_99ebb1cdc1f26539a51d,ml-100k,mf,cfair_influencer_push_random,gender,m,f,10,,,0.75,502
rk_00ac550498638e029bd6,ml-100k,mf,cfair_influencer_push_random,gender,m,f,10,,,1.0,670
rk_9021b35f00c327e68425,ml-100k,mf-value-gender,cfair_influencer_push_random,gender,m,f,10,,,0.1,67
rk_661cc611a2a20626698b,ml-100k,mf-value-gender,cfair_influencer_push_random,gender,m,f,10,,,0.25,168
rk_61346aa6a590bb4c7a0f,ml-100k,mf-value-gender,cfair_influencer_push_random,gender,m,f,10,,,0.5,335
rk_2059f8dc9267f69607bb,ml-100k,mf-value-gender,cfair_influencer_push_random,gender,m,f,10,,,0.75,502
rk_8b2154a6803699a8a8bd,ml-100k,mf-value-gender,cfair_influencer_push_random,gender,m,f,10,,,1.0,670
rk_6f18ae5a666a009bd3de,ml-100k,mf-absolute-gender,cfair_influencer_push_random,gender,m,f,10,,,0.1,67
rk_6bb6a54ba65341b89646,ml-100k,mf-absolute-gender,cfair_influencer_push_random,gender,m,f,10,,,0.25,168
rk_746ee1859b73efd7a2a0,ml-100k,mf-absolute-gender,cfair_influencer_push_random,gender,m,f,10,,,0.5,335
rk_3b0269b43dacb0e489ae,ml-100k,mf-absolute-gender,cfair_influencer_push_random,gender,m,f,10,,,0.75,502
rk_d8c7c5d8b31f2655a909,ml-100k,mf-absolute-gender,cfair_influencer_push_random,gender,m,f,10,,,1.0,670
rk_50d52cfe7a08082a6f00,ml-100k,mf-under-gender,cfair_influencer_push_random,gender,m,f,10,,,0.1,67
rk_4fe1460ea95a7d84790e,ml-100k,mf-under-gender,cfair_influencer_push_random,gender,m,f,10,,,0.25,168
rk_75ec76eef3749a09039d,ml-100k,mf-under-gender,cfair_influencer_push_random,gender,m,f,10,,,0.5,335
rk_60bfc8dbf03e71534b87,ml-100k,mf-under-gender,cfair_influencer_push_random,gender,m,f,10,,,0.75,502
rk_2073cbfa57a1c1ff05f7,ml-100k,mf-under-gender,cfair_influencer_push_random,gender,m,f,10,,,1.0,670
rk_f68e87583c889ee7ec73,ml-100k,mf-over-gender,cfair_influencer_push_random,gender,m,f,10,,,0.1,67
rk_f09c3cdcf9880af8637f,ml-100k,mf-over-gender,cfair_influencer_push_random,gender,m,f,10,,,0.25,168
rk_a8b40ad067a3a3cb4c64,ml-100k,mf-over-gender,cfair_influencer_push_random,gender,m,f,10,,,0.5,335
rk_dd08f62f86e9cee70555,ml-100k,mf-over-gender,cfair_influencer_push_random,gender,m,f,10,,,0.75,502
rk_b304b5b163f413f1adea,ml-100k,mf-over-gender,cfair_influencer_push_random,gender,m,f,10,,,1.0,670
rk_7989c04ffe91fd66013f,ml-100k,ease-i,cfair_influencer_push_random,gender,f,m,10,,,0.1,27
rk_83e3f0dc1471bb4c35b7,ml-100k,ease-i,cfair_influencer_push_random,gender,f,m,10,,,0.25,68
rk_b44fff49d384e323bbe0,ml-100k,ease-i,cfair_influencer_push_random,gender,f,m,10,,,0.5,136
rk_6d6f6e38802511a5ba1e,ml-100k,ease-i,cfair_influencer_push_random,gender,f,m,10,,,0.75,205
rk_29b690f3b3465e587a6a,ml-100k,ease-i,cfair_influencer_push_random,gender,f,m,10,,,1.0,273
rk_06510f169b4fd9b5bc71,ml-100k,ease-u,cfair_influencer_push_random,gender,m,f,10,,,0.1,67
rk_5434157e217e66bd2eb7,ml-100k,ease-u,cfair_influencer_push_random,gender,m,f,10,,,0.25,168
rk_533ef39e29075001c17b,ml-100k,ease-u,cfair_influencer_push_random,gender,m,f,10,,,0.5,335
rk_4504f4d6eb7bd44daa7f,ml-100k,ease-u,cfair_influencer_push_random,gender,m,f,10,,,0.75,502
rk_80ce2d7a2b7b1387ea11,ml-100k,ease-u,cfair_influencer_push_random,gender,m,f,10,,,1.0,670
rk_a771f4072b7053bdabcc,ml-100k,slim-i,cfair_influencer_push_random,gender,f,m,10,,,0.1,27
rk_ff7e971297238b2b73e3,ml-100k,slim-i,cfair_influencer_push_random,gender,f,m,10,,,0.25,68
rk_e7c78201abc8ce1c9587,ml-100k,slim-i,cfair_influencer_push_random,gender,f,m,10,,,0.5,136
rk_54b593acc8f26df597b0,ml-100k,slim-i,cfair_influencer_push_random,gender,f,m,10,,,0.75,205
rk_2dc284859ea81d7b65f8,ml-100k,slim-i,cfair_influencer_push_random,gender,f,m,10,,,1.0,273
rk_7c14b791b6f149ec34c7,ml-100k,slim-u,cfair_influencer_push_random,gender,f,m,10,,,0.1,27
rk_e00c0b0e0be78fd685e3,ml-100k,slim-u,cfair_influencer_push_random,gender,f,m,10,,,0.25,68
rk_70292dbe97301b504e49,ml-100k,slim-u,cfair_influencer_push_random,gender,f,m,10,,,0.5,136
rk_f639c8b534e0fe52f02d,ml-100k,slim-u,cfair_influencer_push_random,gender,f,m,10,,,0.75,205
rk_3146bb4551213891af4e,ml-100k,slim-u,cfair_influencer_push_random,gender,f,m,10,,,1.0,273
rk_84f7bf5a41a505aa621a,ml-100k,svd,cfair_influencer_push_random,gender,f,m,10,,,0.1,27
rk_af42b2f69f5eee193410,ml-100k,svd,cfair_influencer_push_random,gender,f,m,10,,,0.25,68
rk_87876ef11af8a0ada2fe,ml-100k,svd,cfair_influencer_push_random,gender,f,m,10,,,0.5,136
rk_2718c60748f51d45196f,ml-100k,svd,cfair_influencer_push_random,gender,f,m,10,,,0.75,205
rk_2b632763d71a778d314c,ml-100k,svd,cfair_influencer_push_random,gender,f,m,10,,,1.0,273
rk_0322d2019781d9400bfd,ml-100k,nmf,cfair_influencer_push_random,gender,f,m,10,,,0.1,27
rk_26109861a7b3872786d7,ml-100k,nmf,cfair_influencer_push_random,gender,f,m,10,,,0.25,68
rk_b8250cfd7c0f94cb3a1a,ml-100k,nmf,cfair_influencer_push_random,gender,f,m,10,,,0.5,136
rk_9948b0e5bb515773fd46,ml-100k,nmf,cfair_influencer_push_random,gender,f,m,10,,,0.75,205
rk_9278edf1a89ac24b403a,ml-100k,nmf,cfair_influencer_push_random,gender,f,m,10,,,1.0,273
rk_7da87104e8a29ea52638,ml-100k,bnslim-u-gender,cfair_influencer_push_random,gender,f,m,10,,,0.1,27
rk_55f1324e3d1344105956,ml-100k,bnslim-u-gender,cfair_influencer_push_random,gender,f,m,10,,,0.25,68
rk_78a69800c647227dec31,ml-100k,bnslim-u-gender,cfair_influencer_push_random,gender,f,m,10,,,0.5,136
rk_5c921999cc41b6b40720,ml-100k,bnslim-u-gender,cfair_influencer_push_random,gender,f,m,10,,,0.75,205
rk_6c6e9abdf5c768c81e71,ml-100k,bnslim-u-gender,cfair_influencer_push_random,gender,f,m,10,,,1.0,273
rk_55a49181d150c9c684b1,ml-100k,ease-i,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_fee50db23a9f882a2592,ml-100k,ease-i,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_19b9b78d1867d6b69c8d,ml-100k,ease-i,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_6644025d9454caa61cd8,ml-100k,ease-i,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_7873db017fd9e575cafc,ml-100k,ease-i,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_a63be39981a0b85cbc55,ml-100k,ease-u,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_79793a799e0a08d70d01,ml-100k,ease-u,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_0a008baa64a8d955042e,ml-100k,ease-u,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_ce5f0127079899e22c12,ml-100k,ease-u,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_f4cf4dcc84e05de59997,ml-100k,ease-u,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_87db93bcc01091f854f8,ml-100k,slim-i,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_8fb61aa438f9bf8d9797,ml-100k,slim-i,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_3764bf011adbf029a1a7,ml-100k,slim-i,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_bb32b0e3e47615e393ab,ml-100k,slim-i,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_ccaa337b01db4df2721c,ml-100k,slim-i,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_d148ef6612a1cc9c00ef,ml-100k,slim-u,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_700f1b3fbb67dd9bafc2,ml-100k,slim-u,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_b1f26d9c3887535d211b,ml-100k,slim-u,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_1f39ea78c2784152938d,ml-100k,slim-u,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_551cb444d64112922139,ml-100k,slim-u,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_4bac6aa0d513350a85ee,ml-100k,svd,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_c4a97bec4d44818a0d67,ml-100k,svd,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_c917b81bcaf703278957,ml-100k,svd,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_1c3b1ad5d7a1937c082c,ml-100k,svd,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_8f67ad0f05cb77002c56,ml-100k,svd,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_4516d408bf890dcd6972,ml-100k,mf,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_ce070e09fe6bd1396e59,ml-100k,mf,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_2f65f95360075519915a,ml-100k,mf,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_d4b09189b8f201410327,ml-100k,mf,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_d5342d12b5ae96c204e3,ml-100k,mf,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_6883f68381f40b1b9091,ml-100k,nmf,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_5bd1da0e0b3f4b119c85,ml-100k,nmf,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_65f666208ff5d73f0bb1,ml-100k,nmf,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_9d8b0a9cac0a37b6557c,ml-100k,nmf,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_9f076b541d0a14535184,ml-100k,nmf,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_a15ca6d987c689814093,ml-100k,bnslim-u-age,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_b49d131437933ac79fff,ml-100k,bnslim-u-age,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_a23b2489166b1d846c11,ml-100k,bnslim-u-age,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_60dc2c2235fd94783ad7,ml-100k,bnslim-u-age,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_71e8faec0807959996d3,ml-100k,bnslim-u-age,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_9b86f4335ad1782aa77f,ml-100k,mf-value-age,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_a63637e10424442184d9,ml-100k,mf-value-age,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_ad8cd975e657be5d2ad6,ml-100k,mf-value-age,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_7646ef71671748ff3577,ml-100k,mf-value-age,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_a1199edc25892e521a96,ml-100k,mf-value-age,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_dc77249a4e25b5183439,ml-100k,mf-absolute-age,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_610d736caa7370d5b403,ml-100k,mf-absolute-age,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_6da84f872a3ad803e4e3,ml-100k,mf-absolute-age,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_13b5b09cfbe9c391eadb,ml-100k,mf-absolute-age,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_b76a26b6fbc293bc9cb2,ml-100k,mf-absolute-age,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_f954d4257a8681308861,ml-100k,mf-under-age,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_cf0fe43aa6e2a7e02b02,ml-100k,mf-under-age,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_a3c7b834bc40f2d82848,ml-100k,mf-under-age,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_48198520cf74ab018e05,ml-100k,mf-under-age,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_614808f59dffc0e3b8ba,ml-100k,mf-under-age,cfair_influencer_push_random,age,y,o,10,,,1.0,671
rk_22ac35563248d20facb5,ml-100k,mf-over-age,cfair_influencer_push_random,age,y,o,10,,,0.1,67
rk_4a23c0fefd9df2c72cd7,ml-100k,mf-over-age,cfair_influencer_push_random,age,y,o,10,,,0.25,168
rk_611a2cd7bd6c66a5ffbd,ml-100k,mf-over-age,cfair_influencer_push_random,age,y,o,10,,,0.5,336
rk_f11ee64fcda0e2c50e69,ml-100k,mf-over-age,cfair_influencer_push_random,age,y,o,10,,,0.75,503
rk_03b33f0415f45d0b41b2,ml-100k,mf-over-age,cfair_influencer_push_random,age,y,o,10,,,1.0,671
