key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_56fbbdde35d6b8961b27,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,57,,0.1,27
rk_36e588323cb358d9f823,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,57,,0.25,68
rk_6307c9d54444ecadd476,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,57,,0.5,136
rk_56dc06101c05ed23627c,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,57,,0.75,205
rk_ca9b3b989433f5b14970,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,57,,1.0,273
rk_80ca6993acfa710e76e4,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.1,27
rk_a5d6354e7396b33ead26,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.25,68
rk_32f8d66e97fa1ab3b7f5,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.5,136
rk_3a077f3a52b1b230ce64,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.75,205
rk_8d7df967c15b6ad01360,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,1.0,273
rk_49bfbad40e40f860e6cc,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.1,67
rk_eda0a5e650a04cc518c5,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.25,168
rk_a37b7993a95dcf1d2b9a,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.5,335
rk_f762ca068b67a1350976,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.75,502
rk_07152064fa26777d646b,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,1.0,670
rk_13b573ea8cafec077cae,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.1,27
rk_ca409450472703a39058,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.25,68
rk_faa802f27265e01d7479,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.5,136
rk_568dd9a8f7f00b1d63fe,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.75,205
rk_8b43971e4298d1e0f552,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,1.0,273
rk_24ed2f6f544a1224dcc8,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.1,27
rk_d5cea6ccd7543c7f0d0f,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.25,68
rk_8aaa1f1f80643ebfff51,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.5,136
rk_8391157d19f803828238,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.75,205
rk_2d39f5276572003710d8,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,1.0,273
rk_691d38fc2b7dde89c52f,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.1,27
rk_487a2a22711ed220843b,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.25,68
rk_01703eda66f575c566df,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.5,136
rk_e09f5946678cff5e7f83,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.75,205
rk_9261d0b3b385f5fe180f,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,1.0,273
rk_5e6f94feba06b0a9a2b5,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.1,67
rk_1a513d0023b00ebf25d8,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.25,168
rk_62d56a2004c193c36ba6,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.5,335
rk_6b66c6e54e8ed9fef403,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.75,502
rk_6e89d3a680e1cda1f649,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,1.0,670
rk_1ffbd038c1dd72db2cd5,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.1,27
rk_50ebad931cc93aa411d1,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.25,68
rk_48b6f0553ff0fdbf2f3c,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.5,136
rk_c41ee9a9d9ba891eb16d,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.75,205
rk_5b332805b14a4c310bac,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,1.0,273
rk_242ab5c8b450e17033c1,ml-100k,bnslim-u-gender,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.1,27
rk_113a296d7c9f87c42252,ml-100k,bnslim-u-gender,cfair_reverse_favorite_nuke_favorite,gender,f,m,10,66,,0.25,68
