key,dataset,model
rk_e0887ed1e10a07bc2886,ml-100k,ease-i
rk_3618ba30d9816dd140ea,ml-100k,ease-u
rk_7bbad12eae8fb52b7743,ml-100k,slim-i
rk_46454423e994fabca7ef,ml-100k,slim-u
rk_ddbb809b301099c56e51,ml-100k,svd
rk_ee355693c37ac374d391,ml-100k,mf
rk_5d2ef58e35afae029c3f,ml-100k,nmf
rk_b02543af9bb9f650b425,ml-100k,bnslim-u-gender
rk_8310da7c0edbb132276a,ml-100k,mf-value-gender
rk_85c472f094e800a4cd6b,ml-100k,mf-absolute-gender
rk_93e60fa1783d5d1280dc,ml-100k,mf-under-gender
rk_15de041b496fbc05a926,ml-100k,mf-over-gender
rk_e224e9067c8b0a72fab4,ml-100k,bnslim-u-age
rk_97f5ab4733dbdd438aa6,ml-100k,mf-value-age
rk_d1ec0a70bb0364901821,ml-100k,mf-absolute-age
rk_b6d8c7b7dcfcde56847b,ml-100k,mf-under-age
rk_d346fecbac0ecbbd2660,ml-100k,mf-over-age
rk_de9d66c8c049691a67d9,ml-100k,neumf
rk_de9d66c8c049691a67d9,ml-100k,neumf
