run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,ndcg,ndcg_f,ndcg_m,ndcg_gender_ratio,mannwhitney_u,p_value
rk_0d9d8457b8bf766f0eef,ml-100k,ease-i,power_user,gender,10,,,0.1,27,f,m,0.1898615884761972,0.1857176907995941,0.1914847742020556,0.9698822873698768,82815.0,0.5286647898714288
rk_37c4d6fd7ab725cc3392,ml-100k,ease-u,power_user,gender,10,,,0.1,67,m,f,0.1856109983079934,0.1870479243678674,0.1850481470863837,0.9893087437979228,84067.0,0.36096862501450483
rk_bb2c512a9b7ad41d54e5,ml-100k,slim-i,power_user,gender,10,,,0.1,27,f,m,0.1948540690894692,0.1880702747021393,0.1975113157388842,0.9521999992687696,83677.0,0.40882732306625247
rk_b8bd8ec3f51a00b9942b,ml-100k,slim-u,power_user,gender,10,,,0.1,27,f,m,0.1850444707044749,0.1767154260832708,0.188306999703564,0.9384432143332914,84205.0,0.289509715007242
rk_a777f56452d76efc43f3,ml-100k,svd,power_user,gender,10,,,0.1,27,f,m,0.1622422251488404,0.140479371708583,0.1707668451600012,0.8226384435278401,86522.0,0.10360449390958704
rk_2ddfb638faad16224c76,ml-100k,mf,power_user,gender,10,,,0.1,67,m,f,0.11156529752469,0.1130071733976872,0.1110005074361889,0.982243021383814,81432.0,0.6767976332223128
rk_15b0cf3cb8160fda8fdb,ml-100k,nmf,power_user,gender,10,,,0.1,27,f,m,0.1543363741142119,0.1515046756572545,0.155445564754034,0.97464778681196,79375.0,0.857995752308421
rk_67f70f991e13991a1d0f,ml-100k,bnslim-u-gender,power_user,gender,10,,,0.1,27,f,m,0.1836637169366746,0.176443879622196,0.1864917638110096,0.9461215659958252,83440.0,0.42379624801672844
rk_c2e5f77da75f54c1c7ca,ml-100k,mf-value-gender,power_user,gender,10,,,0.1,67,m,f,0.1098304436240287,0.1056811688745658,0.1114557355765834,1.0546413969821955,84147.5,0.36956067275091364
rk_b83b745e1f5e4feb39c2,ml-100k,mf-absolute-gender,power_user,gender,10,,,0.1,67,m,f,0.1049813200070958,0.1052681037027878,0.104868985379751,0.996208554072906,85167.5,0.26330588597112203
rk_cea9e920322f3fe726aa,ml-100k,mf-under-gender,power_user,gender,10,,,0.1,67,m,f,0.1117644198500696,0.1119743006481083,0.111682208477566,0.9973914356343228,82477.5,0.5616611595910966
rk_09cf98683a3318fe247a,ml-100k,mf-over-gender,power_user,gender,10,,,0.1,67,m,f,0.1081992760745119,0.1043122117634509,0.1097218588691671,1.0518601515034856,82765.5,0.527397692797675
rk_121f3e20bd8d4faf7291,ml-100k,ease-i,power_user,gender,10,,,0.25,68,f,m,0.1912418640919463,0.1878375556003105,0.1925753489849834,0.975397716220458,85802.0,0.17360695297211665
rk_eff766496057924f3d75,ml-100k,ease-u,power_user,gender,10,,,0.25,168,m,f,0.1853278935383081,0.1881017000854477,0.1842413794530229,0.9794774814333352,81782.5,0.6468619887150576
rk_4cc6798f73fb924e44a1,ml-100k,slim-i,power_user,gender,10,,,0.25,68,f,m,0.1939199607538149,0.1872957204400091,0.196514709263831,0.9530875380354104,82073.5,0.6165564416929379
rk_94b18756ba0e03a9dfb9,ml-100k,slim-u,power_user,gender,10,,,0.25,68,f,m,0.1833875355618688,0.1755773386957215,0.1864468292651984,0.9417019285749484,83323.0,0.45340620370702955
rk_d3df7a4f7737f8ee80f5,ml-100k,svd,power_user,gender,10,,,0.25,68,f,m,0.1628145168295352,0.1429772695126245,0.170584867161044,0.838159163190273,85552.5,0.19289748023008618
rk_0aae59eb5f9f897372bf,ml-100k,mf,power_user,gender,10,,,0.25,168,m,f,0.1092202553506365,0.1197275269669503,0.1051045037958592,0.8778641508637552,84899.5,0.29001483615333146
rk_61699db7d4ee6727f92a,ml-100k,nmf,power_user,gender,10,,,0.25,68,f,m,0.1511263868163699,0.1493718216424977,0.1518136588890847,0.9839155629048436,80042.0,0.8059872762396036
rk_8a0ed64944647e5f8f33,ml-100k,bnslim-u-gender,power_user,gender,10,,,0.25,68,f,m,0.1848228243315383,0.1765571126596719,0.1880605454933292,0.938831226914285,82801.5,0.530138901287855
rk_e699b8b732b78070561d,ml-100k,mf-value-gender,power_user,gender,10,,,0.25,168,m,f,0.1089261007608415,0.102147861458864,0.1115811714551645,1.0923495593698689,83546.0,0.4369508773615724
rk_e505bacadf07d6a66a89,ml-100k,mf-absolute-gender,power_user,gender,10,,,0.25,168,m,f,0.0995737155132354,0.1027884321693562,0.0983144947032341,0.9564743096893368,87222.0,0.10828788074247614
rk_0efb96acdd489d3be024,ml-100k,mf-under-gender,power_user,gender,10,,,0.25,168,m,f,0.1094381692225218,0.1119823632193024,0.1084415955371468,0.9683810237579874,82587.5,0.5489320635516319
rk_808fcacbecc7e7e6dfc9,ml-100k,mf-over-gender,power_user,gender,10,,,0.25,168,m,f,0.1088104924532262,0.112211621126922,0.1074782531109951,0.9578174883457656,85413.0,0.2429169940146333
rk_d46fae1e88d2d6da0387,ml-100k,neumf,power_user,gender,10,,,0.1,27,f,m,0.1303523179400425,0.1351843220564737,0.1284595974336063,1.0523489467288965,78584.5,0.9008990722787498
rk_2005cf731b7bb993c8d3,ml-100k,neumf,power_user,gender,10,,,0.25,68,f,m,0.1232155512094429,0.1257616956251939,0.1222182135350704,1.0289930771169935,77166.0,0.9555434606178186
