key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_0d9d8457b8bf766f0eef,ml-100k,ease-i,power_user,gender,f,m,10,,,0.1,27
rk_37c4d6fd7ab725cc3392,ml-100k,ease-u,power_user,gender,m,f,10,,,0.1,67
rk_bb2c512a9b7ad41d54e5,ml-100k,slim-i,power_user,gender,f,m,10,,,0.1,27
rk_b8bd8ec3f51a00b9942b,ml-100k,slim-u,power_user,gender,f,m,10,,,0.1,27
rk_a777f56452d76efc43f3,ml-100k,svd,power_user,gender,f,m,10,,,0.1,27
rk_2ddfb638faad16224c76,ml-100k,mf,power_user,gender,m,f,10,,,0.1,67
rk_15b0cf3cb8160fda8fdb,ml-100k,nmf,power_user,gender,f,m,10,,,0.1,27
rk_67f70f991e13991a1d0f,ml-100k,bnslim-u-gender,power_user,gender,f,m,10,,,0.1,27
rk_c2e5f77da75f54c1c7ca,ml-100k,mf-value-gender,power_user,gender,m,f,10,,,0.1,67
rk_b83b745e1f5e4feb39c2,ml-100k,mf-absolute-gender,power_user,gender,m,f,10,,,0.1,67
rk_cea9e920322f3fe726aa,ml-100k,mf-under-gender,power_user,gender,m,f,10,,,0.1,67
rk_09cf98683a3318fe247a,ml-100k,mf-over-gender,power_user,gender,m,f,10,,,0.1,67
rk_121f3e20bd8d4faf7291,ml-100k,ease-i,power_user,gender,f,m,10,,,0.25,68
rk_eff766496057924f3d75,ml-100k,ease-u,power_user,gender,m,f,10,,,0.25,168
rk_4cc6798f73fb924e44a1,ml-100k,slim-i,power_user,gender,f,m,10,,,0.25,68
rk_94b18756ba0e03a9dfb9,ml-100k,slim-u,power_user,gender,f,m,10,,,0.25,68
rk_d3df7a4f7737f8ee80f5,ml-100k,svd,power_user,gender,f,m,10,,,0.25,68
rk_0aae59eb5f9f897372bf,ml-100k,mf,power_user,gender,m,f,10,,,0.25,168
rk_61699db7d4ee6727f92a,ml-100k,nmf,power_user,gender,f,m,10,,,0.25,68
rk_8a0ed64944647e5f8f33,ml-100k,bnslim-u-gender,power_user,gender,f,m,10,,,0.25,68
rk_e699b8b732b78070561d,ml-100k,mf-value-gender,power_user,gender,m,f,10,,,0.25,168
rk_e505bacadf07d6a66a89,ml-100k,mf-absolute-gender,power_user,gender,m,f,10,,,0.25,168
rk_0efb96acdd489d3be024,ml-100k,mf-under-gender,power_user,gender,m,f,10,,,0.25,168
rk_808fcacbecc7e7e6dfc9,ml-100k,mf-over-gender,power_user,gender,m,f,10,,,0.25,168
rk_d46fae1e88d2d6da0387,ml-100k,neumf,power_user,gender,f,m,10,,,0.1,27
rk_2005cf731b7bb993c8d3,ml-100k,neumf,power_user,gender,f,m,10,,,0.25,68
