run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,ndcg,ndcg_f,ndcg_m,ndcg_gender_ratio,mannwhitney_u,p_value
rk_0eb2a9557cd406ede9a1,ml-100k,ease-i,reverse_bandwagon,gender,10,75,,0.1,27,f,m,0.1906805603231472,0.1878687484336808,0.1917819612936756,0.9795955113108764,84762.0,0.07114220208756354
rk_4a58e1e79a264f3da95c,ml-100k,ease-u,reverse_bandwagon,gender,10,75,,0.1,67,m,f,0.1866585058015443,0.1866311882479548,0.1866692062257613,1.0002037064553009,81759.5,0.7229691629406453
rk_7105b82f3f87822f66f0,ml-100k,slim-i,reverse_bandwagon,gender,10,75,,0.1,27,f,m,0.1933917540142034,0.1887852386510455,0.1951961494329518,0.9671565714767932,82098.5,0.7232026495512157
rk_4541055b703ded1d512d,ml-100k,slim-u,reverse_bandwagon,gender,10,75,,0.1,27,f,m,0.186205573764317,0.1818166980792347,0.1879247186179207,0.9674975139853504,82550.0,0.942167300443251
rk_6028563a7b1f7f7ae782,ml-100k,svd,reverse_bandwagon,gender,10,75,,0.1,27,f,m,0.1629070601961699,0.1426367919190274,0.1708470270328386,0.8348801521235201,83693.5,0.3725335289915607
rk_3b6d177d5f99d88e2554,ml-100k,mf,reverse_bandwagon,gender,10,75,,0.1,67,m,f,0.1183486281893892,0.1261573387478906,0.1152899166802988,0.9138581855368004,82489.0,0.5595724870022193
rk_182af302264d7d16f353,ml-100k,nmf,reverse_bandwagon,gender,10,75,,0.1,27,f,m,0.1610922590163885,0.1516081552549673,0.1648072305358392,0.9199120376092864,81645.0,0.657023041938417
rk_bb6318f515a8ff00ea05,ml-100k,bnslim-u-gender,reverse_bandwagon,gender,10,75,,0.1,27,f,m,0.1865285774399906,0.1817967168467194,0.1883820712207651,0.965042563066799,82550.0,0.942167300443251
rk_6c5e0abe4111b9acb5f4,ml-100k,mf-value-gender,reverse_bandwagon,gender,10,75,,0.1,67,m,f,0.115849462282244,0.1147143220590236,0.1162941024618465,1.0137714312778665,84553.0,0.32616294642252464
rk_92f0e74cfe071b5fe7b7,ml-100k,mf-absolute-gender,reverse_bandwagon,gender,10,75,,0.1,67,m,f,0.1125647492980437,0.1119747063771228,0.1127958721011693,1.0073334929879691,85554.5,0.22757861789278988
rk_f8d569cd10c7b30baacc,ml-100k,mf-under-gender,reverse_bandwagon,gender,10,75,,0.1,67,m,f,0.1112135338988294,0.1141205044237776,0.1100748588084119,0.9645493538975044,82043.0,0.611834283744241
rk_defc8d697654d5d274fd,ml-100k,mf-over-gender,reverse_bandwagon,gender,10,75,,0.1,67,m,f,0.1173429771568675,0.1251182041745023,0.1142973813204668,0.9135152000827657,85135.5,0.2678878981314027
rk_0a6841085c1031e05058,ml-100k,ease-i,reverse_bandwagon,gender,10,75,,0.25,68,f,m,0.190578298294675,0.1867738329210269,0.1920685266668413,0.9724333088939738,85351.5,0.06491210660058983
rk_1debc29100ccb30c7eab,ml-100k,ease-u,reverse_bandwagon,gender,10,75,,0.25,168,m,f,0.1867230813150366,0.1873395084983914,0.1864816236625704,0.9954206945310292,81942.0,0.6856447910685508
rk_9ee609f9222d46426410,ml-100k,slim-i,reverse_bandwagon,gender,10,75,,0.25,68,f,m,0.1937363278868908,0.1904897613349675,0.195008024462529,0.9768303733140492,79527.5,0.9593807926967541
rk_2f66d5510ef148d9a2ec,ml-100k,slim-u,reverse_bandwagon,gender,10,75,,0.25,68,f,m,0.1862801361135019,0.1818166980792347,0.1880284874172472,0.966963573321589,82805.0,0.686789529794087
rk_c04634297cb8e3d52326,ml-100k,svd,reverse_bandwagon,gender,10,75,,0.25,68,f,m,0.1616305110677791,0.1456487309887939,0.1678906553383493,0.8675213679717233,77430.5,0.9907398808617425
rk_b0ee1e5727e1c110643e,ml-100k,mf,reverse_bandwagon,gender,10,75,,0.25,168,m,f,0.1189221083537756,0.1183907613154694,0.1191302396821443,1.0062460816913277,82026.0,0.6126180924483565
rk_ba3f9d90a1ba8fed8111,ml-100k,nmf,reverse_bandwagon,gender,10,75,,0.25,68,f,m,0.1578047506664057,0.1415370438289425,0.1641768938976702,0.8621008746648665,85254.5,0.2522123144282147
