key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_0eb2a9557cd406ede9a1,ml-100k,ease-i,reverse_bandwagon,gender,f,m,10,75,,0.1,27
rk_4a58e1e79a264f3da95c,ml-100k,ease-u,reverse_bandwagon,gender,m,f,10,75,,0.1,67
rk_7105b82f3f87822f66f0,ml-100k,slim-i,reverse_bandwagon,gender,f,m,10,75,,0.1,27
rk_4541055b703ded1d512d,ml-100k,slim-u,reverse_bandwagon,gender,f,m,10,75,,0.1,27
rk_6028563a7b1f7f7ae782,ml-100k,svd,reverse_bandwagon,gender,f,m,10,75,,0.1,27
rk_3b6d177d5f99d88e2554,ml-100k,mf,reverse_bandwagon,gender,m,f,10,75,,0.1,67
rk_182af302264d7d16f353,ml-100k,nmf,reverse_bandwagon,gender,f,m,10,75,,0.1,27
rk_bb6318f515a8ff00ea05,ml-100k,bnslim-u-gender,reverse_bandwagon,gender,f,m,10,75,,0.1,27
rk_6c5e0abe4111b9acb5f4,ml-100k,mf-value-gender,reverse_bandwagon,gender,m,f,10,75,,0.1,67
rk_92f0e74cfe071b5fe7b7,ml-100k,mf-absolute-gender,reverse_bandwagon,gender,m,f,10,75,,0.1,67
rk_f8d569cd10c7b30baacc,ml-100k,mf-under-gender,reverse_bandwagon,gender,m,f,10,75,,0.1,67
rk_defc8d697654d5d274fd,ml-100k,mf-over-gender,reverse_bandwagon,gender,m,f,10,75,,0.1,67
rk_0a6841085c1031e05058,ml-100k,ease-i,reverse_bandwagon,gender,f,m,10,75,,0.25,68
rk_1debc29100ccb30c7eab,ml-100k,ease-u,reverse_bandwagon,gender,m,f,10,75,,0.25,168
rk_9ee609f9222d46426410,ml-100k,slim-i,reverse_bandwagon,gender,f,m,10,75,,0.25,68
rk_2f66d5510ef148d9a2ec,ml-100k,slim-u,reverse_bandwagon,gender,f,m,10,75,,0.25,68
rk_c04634297cb8e3d52326,ml-100k,svd,reverse_bandwagon,gender,f,m,10,75,,0.25,68
rk_b0ee1e5727e1c110643e,ml-100k,mf,reverse_bandwagon,gender,m,f,10,75,,0.25,168
rk_ba3f9d90a1ba8fed8111,ml-100k,nmf,reverse_bandwagon,gender,f,m,10,75,,0.25,68
rk_bbf501bd37814b2983c5,ml-100k,bnslim-u-gender,reverse_bandwagon,gender,f,m,10,75,,0.25,68
rk_fcf6ca3b363b0c21ad25,ml-100k,mf-value-gender,reverse_bandwagon,gender,m,f,10,75,,0.25,168
rk_76341567bf1c29bf1dd8,ml-100k,mf-absolute-gender,reverse_bandwagon,gender,m,f,10,75,,0.25,168
rk_49ddddebcdfdb0a19b08,ml-100k,mf-under-gender,reverse_bandwagon,gender,m,f,10,75,,0.25,168
rk_f00856b82b8ca9358017,ml-100k,mf-over-gender,reverse_bandwagon,gender,m,f,10,75,,0.25,168
rk_187e51ec95c1132c497b,ml-100k,neumf,reverse_bandwagon,gender,f,m,10,75,,0.1,27
rk_5d2fcb06536f4a0f84e3,ml-100k,neumf,reverse_bandwagon,gender,f,m,10,75,,0.25,68
